ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1930.002.CHAP.AdWei,'To the Fine Arts' [BMA Relief],1930,10 Art Museum Drive,,Adolph A. Weinman,Relief,,Mayor & City Council,,Baltimore Museum of Art,,,,,,Baltimore,MD,21218,Baltimore Museum Of Art,Relief in front of museum,Baltimore Museum of Art,Outdoor,limestone,,,,,,Male,,,checked,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,5947,,Condition assessment (1991),"good condition, black crust is visible in some areas",,39.325755,-76.6216287,12/8/2022 2:54pm
1930.003.CHAP.AdWei,Baltimore Musem Of Art Lions,1930,10 Art Museum Drive,,Adolph A. Weinman,Sculpture,in place,Mayor & City Council,,"Commission for Historical and Architectural Preservation (CHAP),Baltimore Museum of Art",Historic Monuments (CHAP),,,,,Baltimore,MD,21218,Baltimore Museum Of Art,Terrace in front of musem,Baltimore Museum of Art,Outdoor,limestone,,,,,5 x 12 x 3 ft.,Male,,,checked,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,1555,,Condition assessment (1991),"black crust present on body and pronounced in mouth, chin, and underside of stomach and legs, eastern lion with more severe black crust, vines, missing mortar stable bases",,39.325719970897325,-76.61882064710406,12/8/2022 2:54pm
1930.001.CHAP.JaLip,Mother and Child,1930,,Missing,Jacques Lipchitz,Sculpture,removed,Private Property,,,,,,,,Baltimore,MD,,,Auctioned in 1993 Private?,,,bronze,,,,Auctioned in 1993/ private Jewish Community Center,,Male,,,checked,,,,,District 5,Glen,Glen-Fallstaff,2135,,Condition assessment (1991),"Auctioned in 1993/ was in good condition, pin point areas of rust over small surface areas, dull finish and small areas od differential corrosion had begun to appear",,39.3530463,-76.688652,12/29/2022 1:51pm
1928.001.CHAP.Unknown,Mother's Garden,1928,3205 Harford Road,,Unknown,"Monument,Landscape",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21213,Clifton Park,,Clifton Park,Outdoor,,,,,,,,,,,,,,,District 14,Clifton Park,Belair-Edison,7071,,,,,39.327299,-76.584027,12/8/2022 2:54pm
1927.002.CHAP.EdAma,Aquatic War Horses,1927,106 N. Gay Street,,Edmond Romulos Amateis,"Sculpture,Memorial",in place,"Mayor & City Council,State of Maryland",Baltimore City Department of General Services,Baltimore City Department of General Services,Historic Monuments (CHAP),,Lawren Fowler,,,Baltimore,MD,21202,War Memorial Building,Flanking stairs to front entrance,War Memorial Building,Outdoor,limestone,,,,,144 in. x 6 ft. x 15 ft.,Male,,,checked,,,,relation/15054989,District 11,Downtown,Downtown/Seton Hill,6783,,Condition assessment (1991),"gouges along bases, red paint spilled on base to the right, missing mortar, porous stone and granular erosion,",,39.29096381,-76.60875957,12/27/2022 11:03pm
1927.003.CHAP.Unknown,Fell Family Memorial,1927,1607 Shakespeare Street,,Unknown,Monument,in place,,,,,,,,,Baltimore,MD,21231,,,,Outdoor,,,,,,,,,,,,,,,District 1,Fells Point,Fells Point,2401,,,,,39.28199636225117,-76.59457103616872,12/8/2022 7:57pm
,Memorial Grove Pavilion,1927,Beechwood Drive,Street name,Unknown,Building,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21217,Grove of Remembrance,,Druid Hill Park,Outdoor,"stone,wood",slate-roofed stone pavilion with heavy wood decorative end-gable bracing,,,,,,,,,,,,way/336478444,District 7,Druid Hill Park,Penn North/Reservoir Hill,7188,,,,,39.323537,-76.651876,12/8/2022 2:54pm
1927.001.CHAP.Unknown,Ryan's Bird Sanctuary,1927,6026 Hillen Road,,Unknown,Monument,,,,,,,,,,Baltimore,MD,21224,Mount Pleasant Park,,,Outdoor,"bronze,stone",plaque affixed to a large stone,,,,,,,,,,,,,District 4,Loch Raven,Loch Raven,3402,,,,,39.361983,-76.5818167,12/8/2022 2:54pm
1926.001.CHAP.EdBer,Sea Urchin,1926,3400 N. Charles Street,,Edward Berge,Monument,in place,Private Property,,Johns Hopkins University,,,,,,Baltimore,MD,21218,Johns Hopkins University,Near Faculty Club,"""Johns Hopkins University, Homewood Campus""",Outdoor,bronze,,,,,,Male,,,checked,,,,node/8901865522,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,5163,,"Condition assessment (2009),Condition assessment (1991)","good condition, differential corrosion, visable seams, bronze disc under the sea'nettle' has cracked and has a missing section, no coating remains and algae grows all over the surface, extensive black crust",,39.32962242318554,-76.62240274262057,12/8/2022 8:24pm
1924.002.CHAP.AnOCo,Lafayette Monument,1924,699 Washington Place,,Andrew O'Connor Jr.,"Monument,Sculpture",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,Thomas Hastings,,,Baltimore,MD,21201/02,Mount Vernon Place (South Park),South of the Washington Monument,Mount Vernon Place,Outdoor,bronze,Lafayette seated on horse,312_O'Connor A_1924.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/2pIK95At8fpCOUE_WPNlgQ/7EME7l2NXG60GZRrr-Y8_JcyAjePapsUEi4hqMqP0hRgn5jGP__pKwNReoNbfwmR/leRLcjzMt-wuoTQOIifdODQFv0ZkSBAS7r_u3yndTCE),Marquis de Lafayette,,16 x 8 x 16 ft,Male,,,checked,,,,node/4590244511,District 11,Mount Vernon,Midtown,1269,,"Condition assessment (2009),Condition assessment (1991)","sculpture in great condition, stone base requires cleaning of patina staining, in need of conservation, the marble base, balustrades, and steps are in serious need of restoration, wax breaking down (PL boot and right front horse leg) badly metallic stained base, granular erosion",, 39.297209,-76.615654,12/8/2022 2:54pm
