id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
NA,NA,[Greater Mondawmin Mural],NA,Mural,NA,in place,2024,NA,Tom Chalkley,Male,2431 Reisterstown Road,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Parkview/Woodbrook,Penn North/Reservoir Hill,Penn North/Reservoir Hill,District 7,District 40,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.6502182963003,39.31668856787887
NA,NA,[Elijah's Park Mosaic],Elijah's Park,Mosaic,NA,in place,2024,NA,"Ashton Design, UMBC Choice Program",NA,301 Mission Boulevard,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Port Covington,South Baltimore,South Baltimore,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mosaic,-76.607384463925,39.265484154441744
NA,NA,[Harbor Wetland Mural],National Aquarium,Mural,NA,in place,2024,NA,Nether,Male,501 E Pratt Street,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Inner Harbor,NA,NA,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60731345970055,39.28488956680053
2006.011.XXX.SeOno,NA,Ecstacy of Love,NA,Sculpture,stainless steel,in place,2006,NA,Setsuko Ono,Female,NA,Baltimore,MD,NA,412 x 244 x 304 cm. (13.5 x 8 x 10 ft.),NA,NA,NA,NA,NA,Inner Harbor,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,NA,Outdoor,NA,McKeldin Square,Mayor & City Council,NA,NA,Sculpture,-76.6130009,39.2862564
1980.002.PfA.StEdm,NA,Of Course Culture Horse,Govans ES,Sculpture,painted steel,in place,1980,NA,Stan Edmister,Male,5801 York Avenue,Baltimore,MD,21212,8 ft. 8 in. x 25 ft. x 9 ft.,Percent for Public Art (BOPA),NA,NA,NA,NA,Belvedere,Chinquapin Park/Belvedere,Chinquapin Park/Belvedere,District 4,District 43A,Entrance plaza,Outdoor,NA,Govans ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.60855,39.36042699999999
1992.007.XXX.None,node/358254186,Pride of Baltimore Memorial,Rash Field,"Sculpture, Memorial","granite, steel",in place,1992,NA,NA,NA,Key Highway,Baltimore,MD,21230,H. 60 ft. x Diam. 150 ft.,NA,NA,NA,NA,NA,Inner Harbor,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,Rash Field- S. side of Inner Harbor,Outdoor,NA,Rash Field,NA,NA,NA,Sculpture,-76.608336,39.281397
NA,NA,Untitled,Towson University,Sculpture,steel,in place,1990,NA,Bob Jones,Male,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.60845463414013,39.39363282109289
NA,node/11100460575,Untitled,Towson University,Sculpture,"cement, steel",in place,2010,NA,Joe Cypressi,NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61321638481026,39.39151361586081
NA,node/11100460574,Black Beauty,Towson University,Sculpture,"bronze, aluminum. Rothschild was a painter",in place,NA,NA,Amalie Rothschild,Female,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61302711997955,39.391308434476755
NA,node/11100460576,Reverence,Towson University,Sculpture,welded steel,in place,2017,NA,"Sarah Weithoner, Jessie Greenwell",NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61208028169263,39.39075398188926
NA,node/11100460577,Ooh La La,Towson University,Sculpture,welded steel,in place,1988,NA,Greg Moring,Male,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61168680606013,39.39234170758491
NA,node/11100460578,Apparition,Towson University,Sculpture,"wood, metal",in place,2019,NA,"Michael Cunningham, Justin Rosato",NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.611619587816,39.39221388741719
