id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
1980.007.PfA.AmRot,NA,Unknown,Forest Park HS,Sculpture,acrylic windows,NA,1980,NA,Amalie Rothschild,Female,4300 Chatham Road,Baltimore,MD,21207,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Dorchester,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Interior,Indoor,NA,Forest Park HS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.6897353363135,39.33075965705869
1940.001.CHAP.ReKra,NA,Unknown,Frederick Douglas Homes,Sculpture,concrete,NA,1940,NA,Reuben Robert Kramer,Male,1500 E. Lexington Street,Baltimore,MD,21231,10 ft. x 4 ft. x 6 in.,NA,NA,NA,NA,NA,Dunbar-Broadway,Oldtown/Middle East,Oldtown/Middle East,District 12,District 46,Entrance facing Fayette Street,Outdoor,NA,NA,,Housing Authority of Baltimore City,NA,Sculpture,-76.598779,39.2936992
1970.015.PfA.BeWel,NA,Unknown,Lake Clifton HS,Mosaic,tiles,deaccessioned,1970,NA,Betty Wells,Female,2801 St. Lo Drive,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Clifton Park,Belair-Edison,Belair-Edison,District 14,District 45,Interior,Indoor,NA,Lake Clifton HS,Mayor & City Council,Baltimore City Public Schools,NA,Mosaic,-76.586002,39.317771699999994
1976.005.XXX.JoFer,NA,Unknown,Maree Garnett Farring ES,Sculpture,"aluminum, plexiglass, mirror",NA,1976,NA,John D. Ferguson,Male,300 Pontiac Avenue,Baltimore,MD,21225,NA,NA,NA,NA,NA,NA,Brooklyn,Brooklyn/Curtis Bay/Hawkins Point,Brooklyn/Curtis Bay/Hawkins Point,District 10,District 46,"Entrance facade, lobby",NA,NA,Maree Garnett Farring ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.607018,39.23665199999999
1976.017.XXX.EdSaf,NA,Unknown,Medfield Heights Recreation Center,Mural,mural,NA,1976,NA,Edward Safell,Male,Woodheights and LaPlata Avenue,Baltimore,MD,21211,NA,NA,NA,NA,NA,NA,Medfield,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,District 7,District 41,Interior,Indoor,NA,Medfield Heights Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Mural,-76.6457696228274,39.34099758751284
1983.003.PfA.WiJoy,NA,Unknown,Frederick Douglass HS,NA,porcelain enameling iron,NA,1983,NA,William Joyner,Male,2301 Gwynns Falls Parkway,Baltimore,MD,21217,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Mondawmin,Greater Mondawmin,Greater Mondawmin,District 7,District 40,Interior; hallway of music department,Indoor,NA,Frederick Douglass HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.65537438210029,39.315681672387996
1978.012.XXX.SaLai,NA,Unknown,Baltimore City College,NA,fabric wall hanging,NA,1978,NA,Sami Lais,NA,3220 The Alameda,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Coldstream Homestead Montebello,The Waverlies,The Waverlies,District 14,District 43A,Interior,Indoor,NA,Baltimore City College,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.5992204,39.3257576
1968.001.XXX.RoBec,NA,Unknown,Steuart Hill ES,Relief,plaques,NA,1968,NA,Ronald Beckman,Male,30 S. Gilmore Street,Baltimore,MD,21223,NA,NA,NA,NA,NA,NA,Union Square,Southwest Baltimore,Southwest Baltimore,District 9,District 40,Interior,Indoor,NA,Steuart Hill ES,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.64485099999999,39.2868658
1974.009.PfA.BeWel,NA,Unknown,Recreation Center at Armistead Gardens ES,Relief,bas relief,NA,1974,NA,Betty Wells,Female,5001 E. Eager Street,Baltimore,MD,21205,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Armistead Gardens,Claremont/Armistead,Orchard Ridge/Armistead,District 13,District 45,Exterior,Outdoor,NA,Armistead Gardens ES,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.5548323,39.3047544
1969.002.PfA.JoBon,NA,Unknown,Lake Clifton HS,Relief,aluminum relief,NA,1969,NA,Jordi Bonet,Male,2801 St. Lo Drive,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Clifton Park,Belair-Edison,Belair-Edison,District 14,District 45,Interior,Indoor,NA,Lake Clifton HS,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.5872569,39.31862629999999
1978.015.XXX.VaMay,NA,Unknown,Baltimore City College,Relief,wood relief,NA,1978,NA,Valarie Maynard,Female,3220 The Alameda,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Coldstream Homestead Montebello,The Waverlies,The Waverlies,District 14,District 43A,Interior; auditorium,Indoor,NA,Baltimore City College,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.5992204,39.3257576
1971.010.XXX.JoShe,NA,Unknown,Police Headquarters Building,Mural,mural,in place – unconfirmed,1971,NA,Joseph Sheppard,Male,601 E. Fayette Street,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,Interior,Indoor,NA,Police Headquarters Building,NA,NA,NA,Mural,-76.6085998,39.2902248
1967.002.XXX.WiFin,NA,Unknown,Fire House,Mosaic,ceramic tile,NA,1967,NA,William Finkelstein,Male,1503-15 W. Lafayette Avenue,Baltimore,MD,21207,NA,NA,NA,NA,NA,NA,Harlem Park,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,District 9,District 40,Entrance wall,NA,NA,NA,NA,NA,NA,Mosaic,-76.64206399999999,39.29878099999999
1978.017.XXX.RiMos,NA,Unknown,Baltimore City College,NA,fabric wall hanging,NA,1978,NA,Rita Godfrey Moseley,Female,3220 The Alameda,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Coldstream Homestead Montebello,The Waverlies,The Waverlies,District 14,District 43A,Interior,Indoor,NA,Baltimore City College,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.5992204,39.3257576
1980.005.PfA.MoMcC,NA,Unknown,Forest Park HS,NA,acrylic,NA,1980,NA,Montgomery McCausland,NA,4300 Chatham Road,Baltimore,MD,21207,NA,Percent for Public Art (BOPA),NA,Wendy McCausland,NA,NA,Dorchester,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Interior windows,Indoor,NA,Forest Park HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.6897353363135,39.33075965705869
1995.003.PfA.HeGla,NA,Unknown,Garrett Heights ES,Relief,tactile relief mural,NA,1995,NA,Helen Glazer,Female,2800 Ailsa Avenue,Baltimore,MD,21214,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Lauraville,Lauraville,Greater Lauraville,District 3,District 45,Interior; cafeteria lobby,Indoor,NA,Garrett Heights ES,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.56843165621669,39.348378845210696
1980.010.PfA.DuThi,NA,Unknown,Winston MS,Mural,mural,NA,1980,NA,Duane Thigpen,Male,1101 Winston Avenue,Baltimore,MD,21212,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Kenilworth Park,Greater Govans,Greater Govans,District 4,District 43A,Interior,Indoor,NA,Winston MS,Mayor & City Council,NA,NA,Mural,-76.59960742306345,39.349010546793906
1975.009.PfA.InReh,NA,Unknown,William Paca ES,Mural,mural,NA,1975,NA,Ingrid Rehart,Female,200 N. Lakewood Avenue,Baltimore,MD,21224,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,McElderry Park,Patterson Park North & East,Patterson Park North & East,District 13,District 45,Exterior,Outdoor,NA,William Paca ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.57961046985928,39.29539018168472
1976.016.PfA.LiQui,NA,Unknown,William Fell ES,Mural,mural - project abandoned,NA,1976,NA,Liz Quisgard,Female,603 S. Ann Street,Baltimore,MD,21231,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Fells Point,Fells Point,Fells Point,District 1,District 46,Interior,Indoor,NA,William Fell ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.59106399999999,39.28422599999999
1978.014.XXX.NaMac,NA,Unknown,Baltimore City Jail,Mural,mural,NA,1978,NA,Nathaniel Mack,Male,401 E. Eager Street,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Penn-Fallsway,Unassigned -- Jail,NA,District 12,District 46,Kitchen dining facility,NA,NA,NA,NA,NA,NA,Mural,-76.6083262,39.30066889999999
1973.004.PfA.RoMaj,NA,Unknown,Greenspring Jr. HS,Sculpture,sheet bronze doors,NA,1973,NA,Roger L. Majorowicz,Male,4757 Greenspring Avenue,Baltimore,MD,21215,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Cylburn,Southern Park Heights,Southern Park Heights,District 6,District 41,May have been relocated to interior; now KIPP Ujima Village Academy ,Indoor,NA,Greenspring Jr. HS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.65924119999998,39.34480829999999
1975.003.PfA.RoHie,NA,Unknown,John Ruhrah ES,Mural,mural,removed – unconfirmed,1975,NA,Robert Hieronimus,Male,701 S. Rappolla Street,Baltimore,MD,21224,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Greektown,Orangeville/East Highlandtown,Greektown/Bayview,District 1,District 46,Interior,Indoor,NA,John Ruhrah ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.55276979388856,39.28510391963828
1975.013.PfA.KyWin,NA,Unknown,Mini School,Mural,mural,NA,1975,NA,Kylis Winborne,Male,1000 N. Montford Avenue,Baltimore,MD,21205,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Biddle Street,Clifton-Berea,Clifton-Berea,District 13,District 45,Interior,Indoor,NA,Mini School,NA,NA,NA,Mural,-76.58428144068124,39.30294776596743
1969.014.PfA.AlKas,NA,Unknown,Lake Clifton HS,Mosaic,tiles,deaccessioned,1969,NA,Aleksandra Kasuba,Male,2801 St. Lo Drive,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Clifton Park,Belair-Edison,Belair-Edison,District 14,District 45,Interior,Indoor,NA,Lake Clifton HS,Mayor & City Council,NA,NA,Mosaic,-76.58599899999999,39.31830399999998
1984.011.PfA.LaHur,NA,Unknown,Frederick Douglass HS,NA,oil/masonite,NA,1984,2/1/1984,Lawrence Hurst,Male,2301 Gwynns Falls Parkway,Baltimore,MD,21217,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Mondawmin,Greater Mondawmin,Greater Mondawmin,District 7,District 40,Interior; ceremonial lobby,Indoor,NA,Frederick Douglass HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.65537438210029,39.315681672387996
1985.001.XXX.PaAle,NA,Unknown,Hamilton MS,Mosaic,ceramic tile,NA,1985,NA,Pat Alexander,Female,6101 Old Harford Road,Baltimore,MD,21214,9' x 11',NA,NA,NA,NA,NA,Westfield,Harford/Echodale,Hamilton Hills,District 3,District 45,Interior,Indoor,NA,Hamilton MS,Mayor & City Council,Baltimore City Public Schools,NA,Mosaic,-76.557662,39.35974999999999
1977.035.XXX.CaLev,NA,Unknown,Frederick ES,Mosaic,ceramic mural,NA,1977,NA,Carlton Leverette,Male,2501 Frederick Avenue,Baltimore,MD,21223,NA,NA,NA,NA,NA,NA,Shipley Hill,Southwest Baltimore,Southwest Baltimore,District 9,District 40,Interior; Cafeteria,Indoor,NA,Frederick ES,Mayor & City Council,Baltimore City Public Schools,NA,Mosaic,-76.65889149999998,39.2823962
1997.005.PfA.AnFra,NA,Unknown,Guilford ES,NA,ceramics,NA,1997,NA,Angela Franklin,Female,4520 York Road,Baltimore,MD,21212,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Guilford,North Baltimore/Guilford/Homeland,North Baltimore/Guilford/Homeland,District 4,District 43A,Interior; between cafeteria and library,Indoor,NA,Guilford ES,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.610661,39.34425399999999
1975.044.XXX.RoMaj,NA,Unknown,Dr. Bernard Harris Senior ES,Sculpture,"stainless steel, aluminum",NA,1975,NA,Roger L. Majorowicz,Male,1400 N. Caroline Street,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Oliver,Greenmount East,Oliver/Johnston Square,District 12,District 45,Interior; auditorium,Indoor,NA,"""Dr. Bernard Harris, Sr. ES""",Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.5981235417151,39.30681435717909
1977.009.XXX.SuLue,NA,Unknown,Central Rosemont Recreation Center,NA,polyester resin,NA,1977,NA,Susan Luery,Female,2621 Winchester Street,Baltimore,MD,21216,NA,NA,NA,NA,NA,NA,Winchester,Greater Rosemont,Greater Rosemont,District 9,District 40,"Interior, partially destroyed by fired and arson - in process of re-commissioning",Indoor,NA,Central Rosemont Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,NA,-76.66106104838957,39.301447588902015
1973.008.XXX.BeWel,NA,Unknown,Towanda Recreation Center,Sculpture,galvanized playground structure,NA,1973,NA,Betty Wells,Female,4100 Towanda Avenue,Baltimore,MD,21215,NA,NA,NA,NA,NA,NA,East Arlington,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 40,Exterior - Towanda and Aswego,Outdoor,NA,Towanda Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Sculpture,-76.66793459999998,39.3337581
1978.021.XXX.JuSch,NA,Unknown,Baltimore City College,NA,fiber,NA,1978,NA,Judith Schultz,Female,3220 The Alameda,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Coldstream Homestead Montebello,The Waverlies,The Waverlies,District 14,District 43A,Interior,Indoor,NA,Baltimore City College,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.5992204,39.3257576
1978.020.PfA.HaPet,NA,Unknown,Dr. Lillie M. Jackson ES,Mural,mural,NA,1978,NA,Harvey Peterson,Male,1501 Ashburton Street,Baltimore,MD,21216,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Northwest Community Action,Greater Rosemont,Greater Rosemont,District 9,District 40,Interior,Indoor,NA,Dr. Lillie M. Jackson ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.66196778910344,39.30571153916097
1981.002.XXX.JoFay,NA,Unknown,New Dormitory Building - Baltimore City Jail,Mural,mural,NA,1981,NA,John Fayson,Male,401 E. Eager Street,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Penn-Fallsway,Unassigned -- Jail,NA,District 12,District 46,Interior,Indoor,NA,NA,NA,NA,NA,Mural,-76.6083262,39.30066889999999
1974.010.PfA.FeZop,NA,Unknown,William H. Pinderhughes ES,Sculpture,concrete,in place,1974,NA,Fernanda Zopf,Female,1200 N. Fremont Avenue,Baltimore,MD,21217,52 in x 7 ft. 4 in. x 3 ft. 4 in.,Percent for Public Art (BOPA),NA,NA,NA,NA,Sandtown-Winchester,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,District 9,District 40,Front lawn,Outdoor,NA,William H. Pinderhughes E/MS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.6390807,39.30300900000001
1983.008.PfA.JaRei,NA,Unknown,Wildwood ES (Lyndhurst ES),Sculpture,epoxy resin,"removed – unconfirmed, never installed",1983,3/1/1983,James Earl Reid,Male,621 Wildwood Parkway,Baltimore,MD,21229,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Edmondson Village,Edmondson Village,Edmondson Village,District 8,District 41,Exterior,Outdoor,NA,Wildwood ES (Lyndhurst ES),Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.68357901548578,39.29497385622452
1969.021.XXX.PeVan,NA,Unknown,Southwest Baltimore Charter School (Formerly Carroll Park Jr. High),Relief,wall relief,NA,1969,NA,Peter van Rossum,Male,1300 Herkimer Street,Baltimore,MD,21223,NA,NA,NA,NA,NA,NA,Washington Village/Pigtown,Washington Village/Pigtown,Pigtown/Carroll Park,District 10,District 40,Exterior,Outdoor,NA,Southwest Baltimore Charter School,NA,NA,NA,Relief,-76.6387072,39.2811161
1969.010.PfA.EaHof,NA,Unknown,Fort Worthington ES,Sculpture,gunite,"removed, unknown",1969,NA,Earl F. Hofmann,Male,2701 E. Oliver Street,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Berea,Clifton-Berea,Clifton-Berea,District 13,District 45,Exterior - may have been removed from vandalism,Outdoor,NA,Fort Worthington ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.57871690257569,39.307841069914744
1981.006.XXX.TeRog,NA,Unknown,Civil Services Renovation,Mural,mural,in place – unconfirmed,1981,NA,Terry P. Rogers,NA,111 N. Calvert Street,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,Interior,Indoor,NA,NA,NA,NA,NA,Mural,-76.61225409999999,39.2906179
1990.001.XXX.RoCre,NA,Unknown,Garrison MS,Relief,photographic relief,NA,1990,NA,Robert Creamer,Male,3910 Barrington Road,Baltimore,MD,21207,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Dorchester,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Interior,Indoor,NA,Garrison MS,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.68436499999999,39.332257000000006
1976.015.PfA.JaPhi,NA,Unknown,Lockerman-Bundy ES,Mural,mural,NA,1976,NA,James Phillips,Male,301 N. Pulaski Street,Baltimore,MD,21223,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Penrose/Fayette Street Outreach,Southwest Baltimore,Southwest Baltimore,District 9,District 40,Interior,Indoor,NA,Lockerman-Bundy ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.65002419999999,39.2922828
1984.002.PfA.JaFlo,NA,Unknown,Robert Poole MS,NA,collage,NA,1984,NA,James Flood,Male,1300 W. 36th Street,Baltimore,MD,21211,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Hampden,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,District 7,District 40,Interior,Indoor,NA,Robert Poole MS,Mayor & City Council,NA,NA,NA,-76.6375138465984,39.3303586079062
1971.011.PfA.TyStr,NA,Unknown,Brehms Lane ES,Sculpture,metal,NA,1971,NA,Tylden Westcott Streett,Male,3536 Brehms Lane,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Belair-Edison,Belair-Edison,Belair-Edison,District 13,District 45,Interior,Indoor,NA,Brehms Lane ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.5662917,39.321439700000006
1990.008.PfA.LuSha,NA,Unknown,Armistead Gardens ES,Mural,"mural, ceramic tile",NA,1990,NA,Dr. Luke Shaw,Male,5001 E. Eager Street,Baltimore,MD,21205,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Armistead Gardens,Claremont/Armistead,Orchard Ridge/Armistead,District 13,District 45,Interior; main lobby,Indoor,NA,Armistead Gardens ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.55279899999998,39.304883
1975.038.PfA.DoDru,NA,Unknown,Harford Heights ES,Sculpture,aluminum,in place,1975,NA,Don Drumm,Male,1919 N. Broadway,Baltimore,MD,21213,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,South Clifton Park,Clifton-Berea,Clifton-Berea,District 12,District 45,Interior; auditorium,Indoor,NA,Harford Heights ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.5950667359841,39.31368306920658
1978.023.XXX.JoSco,NA,Unknown,Baltimore City College,NA,fiber,NA,1978,NA,Joyce C. Scott,Male,3220 The Alameda,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Coldstream Homestead Montebello,The Waverlies,The Waverlies,District 14,District 43A,Interior,Indoor,NA,Baltimore City College,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.5992204,39.3257576
1970.004.XXX.ThHof,NA,Unknown,Waverly Branch Library,Sculpture,welded metal sculpture,in storage,1970,NA,Thomas Hoffmaster,Male,400 E. 33rd Street,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Oakenshawe,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,Interior,Indoor,NA,"""Waverly Branch Library, Enoch Pratt Free Library""",Mayor & City Council,Enoch Pratt Free Library,NA,Sculpture,-76.61061275,39.32860375999999
1977.011.XXX.VaMay,NA,Unknown,Lower Park Heights Multi-purpose Center,Mosaic,quarry tile floor,NA,1977,NA,Valarie Maynard,Female,3939 Reisterstown Road,Baltimore,MD,21215,NA,NA,NA,NA,NA,NA,Central Park Heights,Southern Park Heights,Southern Park Heights,District 6,District 40,Interior,Indoor,NA,Lower Park Heights Multi-purpose Center,NA,NA,NA,Mosaic,-76.66337829101793,39.33367261999368
1975.004.PfA.WiJoy,NA,Unknown,Mini Schools,Mural,mural,NA,1975,NA,William Joyner,Male,4900 Park Heights Avenue,Baltimore,MD,21215,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Central Park Heights,Pimlico/Arlington/Hilltop,Pimlico/Arlington/Hilltop,District 6,District 41,Interior,Indoor,NA,Mini School,NA,NA,NA,Mural,-76.67256042608024,39.3464924451119
1974.003.PfA.JoBon,NA,Unknown,West Baltimore MS,Relief,aluminum relief,NA,1974,NA,Jordi Bonet,Male,201 N. Bend Road,Baltimore,MD,21229,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Westgate,Beechfield/Ten Hills/West Hills,Beechfield/Ten Hills/West Hills,District 8,District 41,Exterior,Outdoor,NA,West Baltimore Middle School (Formerly Rock Glen Jr. HS),Mayor & City Council,NA,NA,Relief,-76.7067144,39.2844736
1980.004.PfA.BiJoy,NA,Unknown,Forest Park HS,NA,acrylic windows,NA,1980,NA,Bill Joyner,Male,4300 Chatham Road,Baltimore,MD,21207,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Dorchester,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Interior,Indoor,NA,Forest Park HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.68938299999999,39.33309399999999
1995.002.PfA.JeCoo,NA,Unknown,Garrett Heights ES,Sculpture,cement,in place,1995,NA,Jeffrey Cook,Male,2800 Ailsa Avenue,Baltimore,MD,21214,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Lauraville,Lauraville,Greater Lauraville,District 3,District 45,Exterior; main entrance,Outdoor,NA,Garrett Heights ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.56843165621669,39.348378845210696
1975.046.PfA.WiLei,NA,Unknown,Southeast MS,Sculpture,weathering steel,in place,1975,NA,William Leizman,Male,6820 Fait Street,Baltimore,MD,21224,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Graceland Park,Orangeville/East Highlandtown,Greektown/Bayview,District 1,District 46,Interior; hallway off main lobby,Indoor,NA,Southeast MS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.53075540992066,39.28482430743771
1989.008.PfA.JePow,NA,Unknown,Roland Park E/MS,Stained glass,stained glass,"in place, in storage",1989,NA,Jeff Powley,Male,5207 Roland Avenue,Baltimore,MD,21210,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Wyndhurst,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,District 6,District 41,Interior; front entrance fa�ade,Indoor,NA,Roland Park E/MS,Mayor & City Council,Baltimore City Public Schools,NA,Other,-76.63415699999999,39.357356999999986
1975.041.XXX.ChGav,NA,Unknown,Roland Park E/MS,Sculpture,painted steel,NA,1975,NA,Chris Gavin,Male,5207 Roland Avenue,Baltimore,MD,21210,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Wyndhurst,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,District 6,District 41,Auditorium,NA,NA,Roland Park E/MS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.6347978940699,39.35696055353289
1979.001.PfA.RoAse,NA,Unknown,Robert Coleman ES,Mural,mural,NA,1979,NA,Robert L. Aselage,Male,2095 N. Warwick Avenue,Baltimore,MD,21229,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Mondawmin,Greater Mondawmin,Greater Mondawmin,District 7,District 40,Interior,Indoor,NA,Robert Coleman ES,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.65530549114798,39.31289580048661
1974.001.XXX.JABen,NA,Unknown,Highlandtown ES,Sculpture,NA,removed – unconfirmed,1974,NA,J. Arthur Benson,Male,3223 E. Pratt Street,Baltimore,MD,21224,NA,NA,NA,NA,NA,NA,Highlandtown,Patterson Park North & East,Patterson Park North & East,District 1,District 46,Interior,Indoor,NA,Highlandtown ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.571416,39.289756600000004
1972.004.PfA.FrShr,NA,Unknown,George G. Kelson ES,"Relief, Sculpture","mural, sculptural panel",NA,1972,NA,Frederick Shrady,Male,701 Gold Street,Baltimore,MD,21217,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Sandtown-Winchester,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,District 7,District 40,Interior; now William Pinderhughes ES/MS,Indoor,NA,William H. Pinderhughes E/MS,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.6426652,39.3062826
1971.008.XXX.LaMid,NA,Unknown,Cecil-Kirk Recreation Center,NA,acrylic,NA,1971,NA,Lawrence Middleton,Male,2000 Cecil Avenue,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,East Baltimore Midway,Midway/Coldstream,Midway/Coldstream,District 12,District 43A,Interior; community room,Indoor,NA,Cecil-Kirk Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,NA,-76.60835719999999,39.3133834
1975.012.PfA.KyWin,NA,Unknown,Forest Park HS,NA,acrylic windows,NA,1975,NA,Kylis Winborne,Male,4300 Chatham Road,Baltimore,MD,21207,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Dorchester,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Interior windows,Indoor,NA,Forest Park HS,Mayor & City Council,Baltimore City Public Schools,NA,NA,-76.6897353363135,39.33075965705869
1980.003.XXX.SaFar,NA,Unknown,Broadway Market,Stained glass,stained glass,removed – unconfirmed,1980,NA,Saul Farber,Male,Broadway Market,Baltimore,MD,21231,NA,NA,NA,NA,NA,NA,Fells Point,Fells Point,Fells Point,District 1,District 46,Window,Outdoor,NA,Broadway Market,Mayor & City Council,NA,NA,Other,-76.59338611639262,39.284006486946794
1969.025.XXX.HaHil,NA,Unknown,Department of Housing and Community Development/Ho,Sculpture,concrete,NA,1969,NA,Harry Hilson,Male,201 Aisquith Street,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Pleasant View Gardens,Oldtown/Middle East,Oldtown/Middle East,District 12,District 46,Left of entrance,Outdoor,NA,NA,Housing Authority of Baltimore City,Housing Authority of Baltimore City,NA,Sculpture,-76.6034199,39.29372810000001
1975.048.PfA.LiKas,NA,Unknown,Hampstead Hill Academy,Stained glass,stained glass,NA,1975,NA,Lisa Kaslow,Female,500 S. Linwood Avenue,Baltimore,MD,21224,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Canton,Patterson Park North & East,Patterson Park North & East,District 1,District 46,Interior; library,Indoor,NA,Hampstead Hill Academy,NA,NA,NA,Other,-76.5764972,39.285677699999994
