ID,Title of Artwork,Year,Street Address,Address Data,Latitude,Longitude,Location Name,Related Property,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Description,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Modified
1982.002.PfA.JABen,Nut and Bolt,1982,121 McMechen Street,,39.308833,-76.624497,Mt. Royal Intermediate,Mt. Royal Intermediate,J. Arthur Benson,Sculpture,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,9/1/1982,,Baltimore,MD,21217,Between two buildings,Outdoor,painted steel,,"1982.002.PfA.JABen-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/j8qT-ABVHQ7SmuZTfv6QPg/o9GIIJx2q6yPZZSYoOD46TF-0BzR90T_FuOmT9Vlj9BI6WO6WML0gilEHRYqZVmttvKebYNHSnFaYyFmznAy6A/6tjsGHqm8FqJaD2SNpyj4mEQsHiPyK5t7hevZnrc25U),1982.002.PfA.JABen-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/8cW6q5Mpb6qQb5qqSxiVKQ/T8eI55mSBWiJneYjb8V4ZKJE2UQ_I1M8L0i3aq5F-pchXKlVGknrIBSHSmcb49qTvrJ_66bF8R2RJeDakuTsTQ/ZWdT7QmI5htHquPtGEP1j4w2Dj_uC2Ovy7Y6_pHmfjI)",,,28 ft. x 6 ft. x 28 ft. 6 in.,Male,,,checked,,,,node/9239263273,11,Bolton Hill,Midtown,5020,,Condition assessment (1991),"stable and in good condition, chiping paint and graffiti is a problem, not repainted to original color scheme",,11/9/2021 8:20pm
,A Cityscape,1981,100 Holliday Street,,39.29089172111124,-76.61064340869041,Baltimore City Hall,,Barry Michael Carpenter,Mural,in place,Mayor & City Council,,,Beautiful Walls for Baltimore (BOPA),,,,,Baltimore,MD,,,Indoor,mural,Egg tempera mural inside Baltimore City Hall,,,,,,,,,,,,,,,,,,,,,9/22/2022 9:13pm
1981.007.XXX.IsWit,Chorale,1981,490 N. Greene Street,,39.294554, -76.624184,Social Security Metro West,,Issac Witkin,Sculpture,in place (check),,,,,,,,,Baltimore,MD,21202,Corner Greene / Franklin,,painted steel,,,,,17 x 16 1/2 x 15 1/2 ft,Male,,,checked,,,,,11,University Of Maryland,Downtown/Seton Hill,2084,,Condition assessment (1991),"painted surface deteriorating and chalky, rusting wields, rusting patterns surface and structural, weep holes clogged with rusted steel, filthy granite, panels damaged by 'high impact', needs treatment for such a prominent piece",,11/5/2020 1:11pm
1981.001.XXX.RoBla,Host of the Ellipse,1981,300 N. Greene Street,,39.293141,-76.626327,Social Security Metro West,,Ronald Bladen,Sculpture,in place (check),Private Property,,,,,,,,Baltimore,MD,21202,Facing Martin Luther King Jr. Blvd.,,painted corten plate steel,,,,,35 x 63 x 8 ft.,Male,,,,,,,,11,University Of Maryland,Downtown/Seton Hill,5876,,Condition assessment (1991),"very dirty, bird guano, grass clippings cover bottom 6"" of piece, trash around and graffiti on both elements, encrocahment by children's plaground and fence, rusting all over surface where paint has been peeling for a very long time",,11/5/2020 1:11pm
1981.003.PfA.LiKas,Kinship,1981,800 Poplar Grove Street,,39.297416,-76.665402,Alexander Hamilton ES,Alexander Hamilton ES,Lisa Kaslow,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21216,Along entrance walkway,Outdoor,steel,,1981.003.PfA.LiKas-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/mBk-KqyL8WYO38TEYu0DLA/yfcL2V9toPuYD_HPNYGF-X2Wik3hWbWax58gbsCAwulWKeTo7LfE1IMA57PBB_gU-2BvnKBt8CmIeN60vkb4hw/8-lzJ2XVMeGjpN3G1pXNuFguMOrj0r4D6Q1RmoVCehw),,,16 x 5 x 5 ft,Female,,,checked,,,,node/7834041008,9,Franklintown Road,Greater Rosemont,8663,,Condition assessment (1991),"steel center rod painted black but rusting all over, rod has a broken area and undercoating is visible - possibly from other break repairs, discolored base, very dirty, water collects on feet and steel base plate, would benefit from maintenance and conservation",,8/22/2020 12:09am
1981.004.PfA.HeLee,Local #420,1981,4501 Edmondson Avenue,,39.293073,-76.692053,Edmondson-Westside Sr. HS,Edmondson-Westside Sr. HS,Herbert C. Lee,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21229,Over the eastern entrance,Outdoor,aluminum,,1981.004.PfA.HeLee-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/sJlmxvdrLcsVnX_oHec22w/vXG7fmj40BmPfENFajwpC4jXVTUd6vrg-LYm1TVcR0Tk0MmSdJWzrkgm_iGHNXmcuSZd-i89vV8RJSR-Qsrk5g/oOD6ostuPAjj2VnUvye9CSbWpxgxW_zvAYGnyaJjKA8),,,20 ft. x 68 ft. x 20 in.,Male,,,checked,,,,,8,Uplands,Allendale/Irvington/S. Hilton,2907,,Condition assessment (1991),"view of piece obscured by a large tree, hundreds of pigeons nesting in the piece and bird guano is such a big problem the school has closed the doors to this area, the stench is overwhelming, dirt and guano has left a streaked dirty appearance (June 1994 scheduled cleaning)",,5/15/2019 4:32pm
1981.005.PfA.PaMcG,The Learning Tree,1981,2011 Linden Avenue,,39.311534,-76.632615,John Eager Howard ES,John Eager Howard ES,Patrick McGuire,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21217,Courtyard on Linden Avenue,,painted steel,,"1981.005.PfA.PaMcG-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/_T8ew5Lr22nyl_Gks_nkNg/KjPK6xXQFvrJ7AZcV8xDSIWF0sympwMyX_gTXMzVx_Sq7Eq0A9f1zApceI1XgTxY-kQHxxoUK5e9yheoxbpWng/hBk6sefmEDxOmjv66t5-L_vkIyd8_0XenIDXYdrxwzw),1981.005.PfA.PaMcG-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/LF-dYBDCnJOcdStDX3Qllw/pUsuhJY0zpDrE7z-xaeHi50z8pb3Z9GE-xqrzuKXpj1bQa6Zz4C6tZuapHto6cZ-7mPb1Z9DQjtJf4B19l13qw/Sc5G62EJlwBeZpOdiBwCYx-yaR_lLCr7gfF7Y1NffII),1981.005.PfA.PaMcG-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/PMu2ss2Fglr5-zAqMvizMg/s-7gUv6Bu9KnaX4qpPVfBQH6wqa-RgnyKPmKnHTkcyxzUuG_KQGTTUkawXoXM9sb3phyp9LZE-Y04T1vKXY01w/wKGG6-88jZpY5cI7lyKQpPOnVVZ6RY0iaRGJ1CJpjno),1981.005.PfA.PaMcG-Photo2014  (6).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/1RgbYfUB0W8G7y6MhyPIGA/L3Bg3xuBqlZTwxySseeqJy-UctJBDyMTB-Yv0M7f87B8y7ihJElthZyj2li68ZWNICFSJ2U4jD_rlkv6a1_YmQ/QSGevGX_gAw9nLAgwMDolFQXQ3rrIX_0OqjPhUurZbQ),1981.005.PfA.PaMcG-Photo2014  (5).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/yeYyJe0c8NrMZ7INT_8_5w/8EZQOq4ryKuh3nr5ja7cuLkHN_Ua7VkKK8w1nFVUxdbCqiaU0SbEzNtbGClJElGpUCxvd_dFS1N5X9LGGtmZ-w/b_1nhPs7_vmRJ391gjguWsBiVn_VWjSFQ9CrtEtw1IA),1981.005.PfA.PaMcG-Photo2014  (3).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/uOXBDupAfG0zKiIfYAXS2w/K6jNSLVjIe0e7hecIq6_2oDTw9EG1MZc1EJScqAc1_ksJmpsrrggHdl8aWdXkhjvUwpgx2ToidciqHzMTsKDrw/UIBHZaY9JfJFa8MGmXkqy3-SK7g7NDCRaM7WIWUZlHk),1981.005.PfA.PaMcG-Photo2014  (2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/65B41d1CmOKXbn_WRo0xWw/o0U08nZ4z7VzLs5PclWwM0sFPnn7C7NgcPWss4_MqsgzPV1AfaUVZvoe1RBwD60vfPrdlctvRoI8x44A2B26kw/1e3043wSVUpqWlVre9cnUjjz3R12glMYT13v1R4vpOk),1981.005.PfA.PaMcG-Photo2014  (1).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/XXuOHP_q3GQgUX9shZRteg/Zf9Ff61LQJVpKNYXfwsJ1VJWJmXjgNQX9PcErFN_SHg-LVY_xTY14JMRi5i0uBKsbLakdvF6NgSac0fjB859qQ/wuwQtUnSN_o0ikxOPqhapLKSxJBDexJchWPtlTMtURI)",,,8 ft. 4 in. x 6 ft. x 4 ft.,Male,,,checked,,,,,7,Reservoir Hill,Penn North/Reservoir Hill,1275,,Condition assessment (1991),"epoxy paint has become chalky, fifteen rust spots across painted surface, layers of cut grass blown into sculpture",,5/15/2019 4:32pm
1981.002.XXX.JoFay,Unknown,1981,401 E. Eager Street,,39.3006689,-76.6083262,New Dormitory Building - Baltimore City Jail,,John Fayson,Mural,,,,,,,,,,Baltimore,MD,21202,Interior,Indoor,mural,,,,,,Male,,,,,,,,12,Penn-Fallsway,Unassigned--Jail,1905,,,,,
1981.006.XXX.TeRog,Unknown,1981,111 N. Calvert Street,,39.2906179,-76.6122541,Civil Services Renovation,,Terry P. Rogers,Mural,in place (check),,,,,,,,,Baltimore,MD,21202,Interior,Indoor,mural,,,,,,,,,,,,,,11,Downtown,Downtown/Seton Hill,3525,,,,,
1981.009.XXX.GrMor,Westside,1981,4501 Edmondson Avenue,,39.293073,-76.692053,Edmondson-Westside Sr. HS,Edmondson-Westside Sr. HS,Greg Moring,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21229,Western entrance,,aluminum,,"1981.009.XXX.GrMor-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/38JtdVUhkXepeSssQiMprA/OLxTbq_N0W7sMk1e4Q1Cj_lTo_4hMf17kjFOYY6Z2UyKiNTF1rM8BvdxxJIa_sRbExTtKeU4GuYP8trVkIuN-A/3oSBjzbWBim7ch2M2gB06KSbgcPf0pA0L4--UpEDgRU),1981.009.XXX.GrMor-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/2M-R-_B5CazWg425kj8Y0g/3MZUiej3mjFSKjtsGvWsbEcPEpJnOg42o8xjc3oHLdRtV-TiiW_Mkta86JOPQDdIUG2S8dt5X5xgugEKMN6ACw/UCs9DTd9Jv9CK-yHimeHHgBy7IUYS8XdFbgY3mLOyXs)",,,17 x 50 x 2 ft.,Male,,,checked,,,,,8,Uplands,Allendale/Irvington/S. Hilton,2921,,Condition assessment (1991),"stable and pieces securely in place, very dirty and has a streaky appearance, scheduled to be cleaned 1993",,5/15/2019 4:32pm
1980.011.XXX.ThTod,Equitable Trust Fountain,1980,22 W. Pratt Street,,39.286650,-76.615164,Bank of America Plaza,,Thomas A. Todd,Fountain,in place (check),,,,,,,,,Baltimore,MD,21201,Northwest corner of Pratt and Charles St.,Outdoor,stone,Large fountain with stone pillars,"515b_Todd T_1980.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/S03medGZsqPNJF44q864Yg/0Dw-gRK-keWCWyhJJ6NnE0Ltghr9SgmIDE08JFqf-XsZxj4XAZ_mnPZ25pf21UaQ/kUE8g5LB169L145_y2MP0t69ZvkwE1vi4tNfHyQamt4),515a_Todd T_1980.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/QwS7xS36U0n9qWzh9vefwQ/QaNS6itikh-gMbFqzBHqB2d6GqDn9645akNecq1V1D7TBZV_uInbBk93Qfx6b-44/_3wjetnOnww-4vMSt3Yzp_crhQTTy-8tIJjvLyE7lpk),515_Todd T_1980.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/OB2U2acz-mhjXevJ2vNNPA/oWJPW0sWjr1FzF4LgaHBPye6PO9uH6F2LhSTKlMOAyZLm1GixCiBODGVReYvrhjl/KgWShirFSldnIQSQEe44uZHsVNPd8-erokgJO-bEK7c),IMG_8099.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/mFZ-K2FiZJcMKuwOqKZ2lg/ZxQ_-dk00-aQk4DtRuMr0n19aMFXbsl96u2VKPMxR7lkqVJc6xZrEYxTQ5GEYScpsfijdL6JtoAtO2x-ZeHHPd-Z7vYyU2V_0UV5bEYBh2k/TbliDRA92WZqhRvDVokKae73qRjaJdqTj3SFN7M5q4A),IMG_8101.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/vDzZPEwjuQw0nZnx9qIrHw/c_W0hzXwSSNLdrfRd-4crmlQnG3qHMcX1DMCUode6_6ZbxCZRm0TlHpRnkgl7EZtpkkksmVtr5lZcfk9QOWPodaOXgPcvxP7t0W1y_sAXlE/rZpr8wOmIuAMVu6qb_qshnk7JWXNDx4v0_M7R4LUfNA),IMG_8102.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/l0xIeRa0nN6SUcxXRlZgsw/01P_ra16zry62GGs5hMYqgF1bkOIdwwNgyvrLvVEtwSt41jc5Joc5-ujzFkcqGaYhFBWKN4z8npFKUGpvts3Hh7Qm3Q4xeUK4Z0ZVBNfVmY/CALzrVsvPIaTgpdCU-krBNorwEkGyMmeexfaeRP4q4c),IMG_8104.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/gdG0KmBCr2kv5YOxsbnMyg/kYzbAby9PLPwbeTY7WoMp7FrKXwg5pLxBzpdVEGG_y4SfPPF2Cf0ma1XpMhZbHOrxBY0ovd6oQjrRC5f3IIBfRcMO0DSnZjO58IR9OjMAoI/tIH_Hw35iDvLKSbnLv59Ybk9-l0-2H3hWLacKESd8CE),IMG_8105.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/FcRwGVIgFv_iLRlij1JDqQ/ftYFQ2ChjeW6PLmrSSI3HkOtFC2ckdZn-TBxNh5xSXONHvnM4SsD3F5IfJwXQ8VKMCuWArhJkoDTviXrNsw08U-xxkpXMOPr6NiUtTDuRQ0/l8es4XDxWnmMJCQ5dWwRVsazpAq_XBs2KHgTP8SuL8s),IMG_8112.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/qmOWD7lgkkKay5WsiWT48A/dsfxSDLgJuZ8pgi9s4dKmkPEjA_s62C0XzXnVovfWGq-C8uxHnDl5YuU7gR2UEmbkQueqnF2Nw3m3j_LwIpWXH-MPWIV4b14GezeXlKtNAg/ayyjm7Mn-BqTF0LLCTbClPFNC8kE1qMAt-gjq4HrEHo),IMG_8133.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/JQAtu_YLKV6WDcLs1gPEjg/9G2QENvqeGlgwWlTdtXykpaRwJkjYvf4GixF8B7LZwH1paee3ZUKsJTy5tKUaRUbN7_Ael3r0cTQtKTACKgHN6NXze6Ox2Z_1Jiwo4t2XaA/4YYce2ypIkmiwC-gWK4jM75O62gkLbMSlQcCGwcalXs),IMG_8134.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/nnPq3sYY-OhxfE8-i9HxTg/NNEhaxWjr69rsMm4owSPNLge6TWKl6fzgC6-xCWqxm82weO31LCFGX_Y4Fh4HeNoXGYtGC11EaSKyjl86hatp7pwJ1KrClSiLSWN8HpNujQ/jili3TGpCzOUJra2Mj39tUmIF34B7_dy2XNWYcUHXwU)",,,,Male,,,,,,,,11,Downtown West,Downtown/Seton Hill,1241,,Condition assessment (2009),good condition,,8/26/2019 11:44am
544,Holocaust Memorial,1980,530 E. Lombard Street,,39.2881664,-76.608167,Gay and Water Streets,,Arthur D. Valk,Memorial,in place,,,,,,,,,Baltimore,MD,21202,,Outdoor,,,"IMG_8070.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/hEA_ahKBGJrLohK6zsMCjQ/AZtwv8-hgKdB1PpIw_kmGiR1iqhrXD55sYI2qC_ipCUbTdEZr6I9PJuBvtW7us0Ls3fYMA-nloRYEuo6LxHmvaA7usGTvM0P3JsF-PANHtw/QDI-Vz0_bYYNgPKErYNEg9H7JVyoIrxYi9BQlb0mPCw),IMG_8071.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/s1MBTHztVrqst-U8_4QvGg/qMpDghLAtNeunbvaJFIpGaoUXQf2i5_I9cU1HaKsx4RQPOAte-SMs83kxSoBF-6b-jaivrm-xKAHiBmiCbmUS8DP0KYchfWSOm-txBdPyhc/39485EUUv3nAQoP_SQxxw0S8glYqOJmARehQFLJfFlk),IMG_8085.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/LBbePgIQ0VJgdEjCFe3LcQ/ByQRqhGt8WUwQwjdcExsJ0o5phZLD3UVBj5p2LYDTxhFSc4sbMgXsPqLTMiaQvjfR-r6pPGbq8d-55PhoWRhW15Znye31OEbuFcfghI9jOA/1RB2u8eyrttXPwYeaQNgv77a5au_wR5sThjZuD5sR9Q),IMG_8086.JPG (https://v5.airtableusercontent.com/v1/11/11/1670004000000/LYsuMSdBC7CYAIPvGSBnsQ/JTtDx1omUQRFjNFSPexbpZ1qW3ip0A-cMXrpHHhGzzOJk13klfbIPIlMdxxP0CiB3ljMwOMQUKJgZvOF3PRmZTDIn_ZDiniq6dr2m2tr79g/nXC9zgh-2Ic4W3PMihtNQsJg3CcbWcaNgeq37J1FEtc)",,,70-ft.,Male,,,,,,,way/109485081,11,Inner Harbor,Downtown/Seton Hill,2936,,,,,8/21/2022 11:14pm
1980.009.XXX.TyStr,Mythological Horse,1980,700 E. 34th Street,,39.32990081713007,-76.6062952313343,Waverly ES,Waverly ES,Ferebee Streett-Thulman,Brick striation ,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,South wall/ Ellerslie St.,,brick,,1980.009.XXX.TyStr-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/L56UKiHpW6bUgXGS5tIW6A/NvH1Qf7Aoz7sug9AO8MBCPs87cpMYGuIHLY5HIO36yDSyA_tGZpQwM0FJqjjdWipItvMo_COJqnv7Jh2VZWqbg/J7p3Q1mgK6WTZ3LwlpzwSE6FpBL1c36bwBddvi5f7r0),,,H. 6 ft. 8 in. x W. 8 ft. 8 in.,Female,,,checked,,,,,14,Waverly,The Waverlies,4667,,Condition assessment (1991),very little care or repair is needed because of materials and location,,5/15/2019 4:32pm
1980.002.PfA.StEdm,Of Course Culture Horse,1980,5801 York Avenue,,39.360427,-76.608550,Govans ES,Govans ES,Stan Edmister,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21212,Entrance plaza,Outdoor,painted steel,,1980.002.PfA.StEdm-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/yeUPhjD9zRd-lvf0xpZPPQ/my6c6JKEOqG6e98I4hUTkqbOL6lWdYMlIpqmav9F4K2yzLbjXKDJdctAL__GHB-PkfAEPNpA66jvaS_2ux3Pwg/A52MMSPoMWdyzfzsGc24MXtusQ9hjQfYckhtI39peU0),,,8 ft. 8 in. x 25 ft. x 9 ft.,Male,,,checked,,,,,4,Belvedere,Chinquapin Pk/Belvedere,2103,,Condition assessment (1991),"the piece is not in good condition, all of the L brackets are loose, the elements are unstable and there is movement in each, the piece is painted grey but red, yellow, and blue can be seen under chiping, originally urethane varnish and enamel paint were used, graffiti covers every surface",,8/21/2020 9:10pm
1980.001.XXX.MaDiS,Under Sky/One Family,1980,401 E. Pratt Street,,39.286310,-76.609002,Inner Harbor,,Mark di Suvero,Sculpture,in place (check),,,,,,,,,Baltimore,MD,21202,East of the World Trade Center,Outdoor,steel,large steel sculpture consisting of 4 I-beams; propellor behind sculpture,"17d_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/pKKT21yZcdgiHyAqV0nK1A/PPJU5q4LFeGONPmY-kpGPk4NH9r5bb_u0ULBPCWa3dKEOUnCSPPKfMMs9N325zxx/KqEsPXG0b22hKWrCkUFTpLcuZtDNY8-D00w68ed07x8),17c_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/cRrN6cLz9gWAeOS-zk_rpA/4UuVKQicR-yoic3PFY_qsvkEtDLLGNSZC48KX-iNmAPtNM9NViGERMPoUVKpFNkP/SIwaeAsBChoP3xSpJXLNz7r4yARcc4u_TncrjDrxD-M),17b_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/N_8rIHyPmjkzmTMhhChigg/GGvZQ43ATtXA28-BVofewQUF_1lRd6t4qoqjvqMPzotUSdefeChkjWb-lnUGrXEM/mcMdkdL68uphL7_CMoAvHfV0IhSlUDXj5HpPkvNqgwA),17a_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/iNF8hsquyoj_0V8ElpM_aQ/P8mpf3BTeoP4EFSo9Bo-tjJLJJwU0aCzwMTEho8aYfaojHqBubj28M53vibWetco/Z1hRJfnT9MjxFzwypzYwDsVw2L1imMLJtqoK4QuVg60),17_di Suvero M_1980.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/eAq2lmoRvchcnkylwKeqng/iaubKsgJdmIAiS33b1kFGn0QM7ahQEWHMu0uAsa9-1SJdEfweXXsRmbNmQQoOldb/hJBr0zXUUghdrxOC8i3qQn8GC0XIWpxIhtcSv_2nTco)",,,70 x 36 x 78 in.,Male,,"in good condition; bird guano, blocked by underground parking entrance and new plantings, railroad ties and bark chips mark the 'play area changing the viewer's perception of the piece, concrete overpass also negatively impacts the piece, the steel beams all have superficial surface rusting, very dirty, piece would benefit from grass replanting and cleaning",checked,,,,node/1956791710,11,Inner Harbor,Inner Harbor/Federal Hill,3853,,"Condition assessment (2009),Condition assessment (1991)","in good condition, bird guano, blocked by underground parking entrance and new plantings, railroad ties and bark chips mark the 'play area changing the viewer's perception of the piece, concrete overpass also negatively impacts the piece, the steel beams all have superficial surface rusting, very dirty, piece would benefit from grass replanting and cleaning",,8/21/2022 6:11pm
1980.008.PfA.TyStr,Unknown,1980,700 E. 34th Street,,39.32990081713007,-76.6062952313343,Waverly ES,Waverly ES,Tylden Westcott Streett,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21218,Front wall over entrance,,epoxy resin,,,,,,Male,,,checked,,,,,14,Waverly,The Waverlies,9529,,,,,11/9/2021 5:28pm
1980.007.PfA.AmRot,Unknown,1980,4300 Chatham Road,,39.3307596570587,-76.6897353363135,Forest Park HS,Forest Park HS,Amalie Rothschild,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21207,Interior,Indoor,acrylic windows,,,,,,Female,,,,,,,,6,Dorchester,Dorchester/Ashburton,7928,,,,,8/22/2022 10:51pm
1980.005.PfA.MoMcC,Unknown,1980,4300 Chatham Road,,39.3307596570587,-76.6897353363135,Forest Park HS,Forest Park HS,Montgomery McCausland,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),Wendy McCausland,,,,Baltimore,MD,21207,Interior windows,Indoor,acrylic,,,,,,,,,,,,,,6,Dorchester,Dorchester/Ashburton,2182,,,,,11/9/2021 5:28pm
1980.010.PfA.DuThi,Unknown,1980,1101 Winston Avenue,,39.34901054679392, -76.59960742306345,Winston MS,Winston MS,Duane Thigpen,Mural,,Mayor & City Council,,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21212,Interior,Indoor,mural,,"1980.010.PfA.DuThi-Photo2015.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/7Dj2Ejw307Qa-u7rjctwrA/YdzGeaXboBgGFEP5VKy5NcplJCoZsIJhnh7IdOHCWrJewfhDiiWIcmTwF6ewbidFiiYziUTDtAF_KbkZAPcIcA/JJ59DjNvnIja71VzKur8ODj9XfaigqtxxF9o76ZEiJE),1980.010.PfA.DuThi-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/yoLn6uCJFL7TlHJ_jwY5VQ/tS81DsEgZZIDkiEtus0ItDO58tdAfHhDzQxGI6_IBCEvC0RQZLdFJ3C-bJcItDNhdxy1zpYKM_piwf0Uoi-q_g/sAOIYYDux1oB01m5fcaPVhoKlIzYc-BuzFLlteZKGv4)",,,,Male,,,,,,,,4,Kenilworth Park,Greater Govans,9823,,,,,5/15/2019 4:32pm
