ID,Title of Artwork,Year,Street Address,Address Data,Latitude,Longitude,Location Name,Related Property,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Description,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Modified
SECDC,You Are Here: Highlandtown,2010,3700 Eastern Avenue,,39.286494,-76.5663,,,Tom Chalkley,Mural,in place,Private Property,,,,Greg Gannon,,,,Baltimore,MD,,,Outdoor,mural,Created since 2014,,,,,Male,,,,,,,,,,,,,,,,8/22/2022 9:49pm
2009.008.BMP.MiOwe,[Eastern Avenue Underpass Mural],2009,,Missing,39.287326,-76.559614,Eastern Avenue Underpass,,Michael Owen,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21224,,Outdoor,mural,,"2009.008.BMP.MiOwe(7).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/5RFk_vdqgXfDDMkBV49KWg/PFR3docVPSIvGa72pKcg8lcONN6NaQt-GdYxvMO8sBsR3mdKw0oP98yhmqA5q09G/EnK3NvqBhfTLMbKvLwZ4SN3OlIVOZUUIBU95VOEUWiM),2009.008.BMP.MiOwe(6).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/murodiHmKTYePXkXMcpx0w/kH9TDr9RUuiPNlfxAZ14ceyA0pZppqKP_k99ZnWS3tptyAx44tjQtBiMrShjcSTL/4gtOHWdYgewHbHgxt_onAktx3X-qNQIbYxeVzixn6Mk),2009.008.BMP.MiOwe(5).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/KmrUo-O78uLVB82hewOOlg/lEuDwJjFQZgd5CYwL4vV2edXLQKCzUDz-J-RwzT2ixjja9ObsGmclcj3twCcGxOJ/ZL_E7BrrjsRmAevi1U6PnTL9rHSPPqDmutuoZZk9NhQ),2009.008.BMP.MiOwe(4).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/Qr0t6Cnp0q4DoEMAgGB5eg/-TNouoGgnbRZKmHfLfqgWvUkwywpEBsGQcQBJtGHe9JcPeLwVdQp45m3LqNWsVFM/WSTY891DmW6FRqMYIVvGuGygnDQweRDksXSy7hQAWrc),2009.008.BMP.MiOwe(3).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/rqIAmO3eoBh0Lq2IxZ8L9g/s6MB7d6SYAdh-xl-vFA9qziAGsNcktEfyFWd1QZSC8VI8atKmooD3JOkAX6Fz8Mu/LAgtZFpGMVDcPtUSQYRFB7ea1ECiGRUM6bTV3CoLIBE),2009.008.BMP.MiOwe(2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/xRmyc8we1dM-BF6LXBbDRA/w71N5U9wMSWAfxrSAew-0YEB0o3s0AIH3DJfOUa_Xg6rb5xo4G_KX2w-BsZu62xx/HCMIvo_GuNvfLT-UtnPYMJDF9JdlI-ZNi-tZ4Tox0tg),2009.008.BMP.MiOwe.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/PISOWUcrWpA19P6H69WLTw/kJ9NzKfCSlrutk2fYA5-wubdVT1vBqWAvC0hcBo8stA03SczKcBINm2HFRX6OSOx/azBxKgZKPGAnSWJgkaHZs3SWCK9jjLsw-3vUk4L3qZs)",,,,Male,,,,,,,,1,Canton Industrial Area,Orangeville/E. Highlandtown,9022,,,,,11/30/2022 12:25pm
2009.002.BMP.ToCla,[Fort Worthington Recreation Center Mural],2009,2710 E. Hoffman Street,,39.307444,-76.578768,Fort Worthington Recreation Center,Fort Worthington Recreation Center,Tom Clayton,Mural,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,,Outdoor,mural,,2009.002.BMP.ToCla.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/EhGGuLna5GW9h6IIjSBNTw/EzS-f1lGDYIjxlUsb9DnLrxTZmPhGcsMIWJJVUkQ2qLFoGDPXQlJzxOyYMyyqnuC/VO9iVfyAvHrNET65JPulRQECQgrgQJUGcueLBRrbVQc),,,,Male,,,,,,,,13,Berea,Clifton-Berea,5780,,,,,12/1/2022 10:03pm
2009.009.BMP.NeRiv,[Unknown],2009,Holliday and Saratoga Streets,Intersection,39.29146211325886,-76.61031346272442,Baltimore Farmer's Market,,Nelson Rivas,Mural,in place (check),,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,Outdoor,mural,,,,,,Male,,,,,,,,11,Downtown,Downtown/Seton Hill,1687,,,,,12/2/2022 9:22am
2009.005.BMP.LyKis,[Unknown],2009,508 Benninghaus Road,,39.358643,-76.609459,,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21212,,Outdoor,mural,,"2009.005.BMP.LyKis(2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/-3djVLJBHr58maseTVEBLQ/bBvaahDP-YiSxpKQmXrmUmemHUnD_7W2b13F7ZvlgaBsHTsl2n4CAh1MeoHVsZDC/TFMHxOps9Jd-u1puCjKylLiy0kqTl8RiSvmAHjQ3lts),2009.005.BMP.LyKis.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/0u9p0sYiS-Aeqd1b61Rqdg/wkZafEMbr9rdpoV21wQPDiGFoRd9-itaEgFK-KZpkSE3fOvDfP_WvztUIt1izCNj/yCUmtPVSR1dqH6Wj_1IH_rUmW3xZijm0LS9DiigV5S0)",,,,Male,,,,,,,,4,Mid-Govans,Chinquapin Pk/Belvedere,1246,,,,,12/2/2022 9:22am
2009.007.BMP.JoMar,[Unknown],2009,Holliday and Saratoga Streets,Intersection,39.29146211325886,-76.61031346272442,Baltimore Farmer's Market,,John Marra,Mural,in place (check),,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,Outdoor,mural,,,,,,Male,,,,,,,,11,Downtown,Downtown/Seton Hill,6918,,,,,12/2/2022 9:22am
2009.011.BMP.ArVea,[Unknown],2009,1400 Greenmount Avenue,,39.306418,-76.608710,,,Archie Veale,Mural,painted over,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,Outdoor,mural,,2009.011.BMP.ArVea.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/S4RPZ0giMmoZVLXnCzFmuA/6bCd_S6DXmP9Fr4uK6VWTF58J1BxJx_R_adxDwmko0lu3Rqt3ikgebTXc-svYgQE/KIFsQnTCHkIRYp2MN5YSUT6F4KNMql_M0NJHy4-TNlw),,Destroyed(?),,Male,,,,,,,,12,Greenmount West,Midtown,1970,,,,,12/2/2022 9:22am
2009.004.BMP.DaHos,[Unknown],2009,4337 Park Heights,,39.339315,-76.665753,,,Danamarie Hosler,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21215,,Outdoor,mural,,2009.004.BMP.DaHos.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/hP_aOVc6wR3SbGWOMXSy3g/IviMwENkSKMkWnK9IwTYzaSujrDLqtCgYRJ2KON6yReEB-v3TTAuThToAWVjpgxg/AWGaN9Ke1vCwPI2bgmiPGQ2tolPQgD6nOrV0-e9VV9M),,,,Female,,,,,,,,6,Central Park Heights,Southern Park Heights,8173,,,,,12/2/2022 9:22am
2009.006.BMP.LyKis,[Unknown],2009,2798 The Alameda,,39.323024,-76.593212,,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),Brian Probst,,,,Baltimore,MD,21218,,Outdoor,mural,,,,,,Male,,,,,,,,14,Coldstream Homestead Montebello,Midway/Coldstream,6906,,,,,12/2/2022 9:22am
2009.010.BMP.MaSel,Elwood Park,2009,3030 Jefferson Street,,39.296485,-76.574230,Elwood Park,Elwood Park,Mark Selby,Mural,"Mural replaced with new design,painted over",Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21205,,Outdoor,mural,,"2009.010.BMP.MaSel.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/iHBtmYyMxnfGSGgPwWdd5Q/kLBrx5A9aiKadNwDCxqv7Jenj5g7TSUwluqKM81o-R6EH3wd8KOYGn7FTTtKhAw8/cQFVYjQc4SpEMzS3CVStbFJHFu8TXZ0_eKZijIPqGCg),Ellwood mural final day 005.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/O8lH4sSn_p66Ke6Pqnp2Mw/nJf1PMLnZaVRwJSUdPiktD1sg8A5b_7I03Z_lFXIsd6-sETGesm5WT7zK5r0pvptDmzpS74yoHZZnKz7u1Dqy1LBX1R_chA4O32zwTKB0Y3G0_rS-asU_XPanMLF5ztl/VAaeyOwE1NOJv3jlFcyK0AqUSAnpvA3D1FO15EnnGXQ),Ellwood mural final day 007.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/pbJ0CCGur5NRT9ItcL0SHQ/2Wv6NYmr0tvl9Tqf2j_LmOMMBbFtyFCJbLlFoq4Yf5UdjZnsiJJV9OGYhaeZSyalnI0o-oMxxgv-PIkGsgwyAQnqORHion8nGwHEkpcTQXnQdFcjOXCL4izt1PiXB4p9/dNwx6FqD0KooNr_uconzFBa9NpliwQ_XcNd7sqWW4vw),Ellwood mural final day 009.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/1hJKf8o6uYDkp6FTyFaTDw/_HX9rU3izlDW2njJyzT0uZ6FF5vbJUMQ6-A8FR63-zR4b808nUb6M4o6WXtO-Hqrw2kXgCTa4yhyA3LugtgaeYz4wzOTDyRNTiZ_paOShNWikC2_G_QaO90iWTArPPJO/Yt9LSOhw33ERPRdnbtUQIGv5zgF3RCiKy2nodaY8iUI),Ellwood mural final day 011.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/OyKc5SzeAsuo4eAw8ZxQfg/jd98EVo1qdM4P8lZJabmTlAu7Z_-J8abPZEOFalBpyWKBFEwmZXMv6yNA4xJJ69a0IjgS1lg2cLQCXK7i4yiN9DPHs-r7lraviuD_LDck_zRqA_mUggzrZmm_kTqYWdx/OMREKTn6zZ-gUCtxKhFBocPYcOIADI0V62QJK9Fe5kQ),Ellwood mural final day 012.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/TqdsPjmYdVq8GZCvv_TRLA/b7AfUf_GsYVoEMm_YugH6GkLsqyk5XfHH_wGiE3_QXhHEMSfwp5HbsHlhusa3NOicoRBw84DI1z3J-04k54_jHDqC9rQ9mO2Z7mG0dHliUmctiLyWNNIhxuTII9uzZTc/G_V30ptVp1kJ2DkkTEw8j3-hzV9J4nfWT7C-KLCjfj8)",,,,Male,,,,,,,,13,Ellwood Park/Monument,Patterson Pk N&E,7340,,,,,8/22/2022 1:24pm
