ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1973.007.PfA.WiSte,Unknown,1973,6201 Frankford Avenue,,William Steinmetz,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21206,Moravia Park ES,Interior,Moravia Park ES,Indoor,,,"1973.007.PfA.WiSte-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/yuqChdV9_l7dS9P1rQ9Vsw/KvC4velF9xuSqVKHEJQTu6LSSPsK96NLGpxylaFc8GTpZKuEeL3jvsMCbqoY55baanodAgsOgO6Hn-0Cs3muWw/W8_MHEXa78B4Z_8S2TFI7hA1PpHxnCPHzRtctlSBKkY),1973.007.PfA.WiSte-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/diew4upaKydO2W0AAwX1Bw/TUFtlqLWMQbbwNJC78nDRqjDUmW3gzdKCuB_k2gi-ReJm_jgFGjR54CuKzTIpQVLEcLiJT-sB2DAQTlZnuZ8Bw/fBtx6HcIi7v8f5-LbOof8WM2-kvcoZQWWOmQ5QxLNO8),1973.007.PfA.WiSte-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/7YBuqvt1KEns8nw512jDJw/-mBmOaXv_CG31_L5ySoaRCjFrBEmYJHb96S3yWtF5ri0la7xard340K3PIxZOcsdYZVGIVCQzBaUAOOHmVsmSQ/7Dk7PE-5qn4EghAzNnG79ktK8tb_l5vG9WUm160Gtdc),1973.007.PfA.WiSte-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/uYaOhB4YMxY-StWKLHgg8Q/FckZRrJZZdYYDu-9FCiojPgaI_cS7hHbKiz-ToD8Vl9BGcm9pFlDr1ab0ZXMB51Jdlo72TCqe2427hw6vP4p4A/drnoar9pyFg1O0-DH--UtqePcRt-4Z1F7oEi5sJIVTQ)",,,,Male,,,,,,,,2,Pulaski Industrial Area,Claremont/Armistead,2173,,,,,39.3119066,-76.5373402,12/4/2022 7:45pm
1973.006.XXX.EdSaf,Unknown,1973,2601 E. Baltimore Street,,Edward Safell,Mural,,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21231,Patterson Park Recreation Center,Interior,Patterson Park Recreation Center,Indoor,mural,,,,,,Male,,,,,,,,1,Patterson Park,Canton,3112,,,,,39.291230,-76.580271,12/4/2022 7:45pm
1973.001.PfA.JABen,Unknown,1973,2401 Nevada Street,,J. Arthur Benson,Sculpture,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21230,Westport ES,Playground,Westport ES,,"corten steel,concrete",,"1973.001.PfA.JABen-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/tK5FY0qSpu9ydFsx83EeWw/hdegSl04C97OXLnzO8C74GhHV4P2c6vXJHc_-hKwo7Oc865fOKQjFf7v5WjLeCD96D8XpjS5x2j3TjJyMHwcuA/uAbZzmrK8nB3xuotNJ3QMqw4SG179bkXrNAf_FVsJsM),1973.001.PfA.JABen-Photo2015 (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/gKwr4UaNZT-JiYJvmttsOQ/ex3nqsrKpKGsHzZaMuusixHrCHU4Jwoh1c2UmPyfUlSaNT581DHm0DczsVDoChvlgOGb6-pwE28iTiuJwZllSA/87jblWmlpeABmaOEub8id6nLQfDQMnKxZ9UmLd9hXXg),1973.001.PfA.JABen-Photo2015 (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/58QIzdCLx17HPGiWFlke_A/rSRSkBH6xzAKswT01EtKsmMfQguGiSEE7SEinmWn-mtSQIQuJ-idbDJIYq6OBrgdH-nZ0x_Wez5UpYIg6bRhiQ/8pMxT94Kkcq7S5SLUrNJNwgxH7kuOvmPveoCDkggY5Q),1973.001.PfA.JABen-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/2E2un7Xhkqh051ZTrBGziw/bnPwN3BmXJq1XqnfXf3MePCYn0MBIgwMRM2LHJx-S9SKgAhRKsjRHMdVK82VRtIDwlRnSzyas9dYIvTWqGT7Yg/v9PRgZBO8Li4lKF-Lh61eo8drQyl6eIQPpFLUtm-lkI)",,,,Male,,,,,,,,10,Westport,Westport/Mt Winans/Lakeland,6550,,,,,39.261918,-76.637285,12/4/2022 7:45pm
1973.004.PfA.RoMaj,Unknown,1973,4757 Greenspring Avenue,,Roger L. Majorowicz,,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Percent for Public Art (BOPA),,,,,Baltimore,MD,21215,Greenspring Jr. HS,May have been relocated to interior; now KIPP Ujima Village Academy ,Greenspring Jr. HS,Indoor,sheet bronze doors,,,,,,Male,,,,,,,,6,Cylburn,Southern Park Heights,8892,,,,,39.3448083,-76.6592412,12/4/2022 7:45pm
1973.008.XXX.BeWel,Unknown,1973,4100 Towanda Avenue,,Betty Wells,Sculpture,,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21215,Towanda Recreation Center,Exterior - Towanda and Aswego,Towanda Recreation Center,Outdoor,galvanized playground structure,,,,,,Female,,,,,,,,6,East Arlington,Dorchester/Ashburton,2786,,,,,39.3337581,-76.6679346,12/4/2022 7:45pm
1973.003.XXX.WiLei,Unknown,1973,1201 N. Rosedale Street,,William Leizman,Mural,,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21216,Rosemont Recreation Center,Interior,Rosemont Recreation Center,Indoor,mural,,,,,,Male,,,,,,,,9,Rosemont,Greater Rosemont,4276,,,,,39.3022569,-76.6687939,12/4/2022 7:45pm
1973.005.XXX.JoMit,Unknown,1973,4940 Eastern Avenue,,John B. Mitchell,Mural,,,,,,,,,,Baltimore,MD,21224,Baltimore City Hospitals,Interior,,Indoor,mural,,,,,,Male,,,,,,,,1,Hopkins Bayview,Orangeville/E. Highlandtown,8393,,,,,39.290184,-76.546857,12/4/2022 7:45pm
1973.002.XXX.ThHof,Unknown,1973,414 N. Calvert Street,,Thomas Hoffmaster,Sculpture,,,,,,,,,,Baltimore,MD,21202,Transit and Traffic Building,Interior,,Indoor,welded metal wall sculpture,,,,,,Male,,,,,,,,11,Mount Vernon,Midtown,6792,,,,,39.294742,-76.612848,12/4/2022 7:45pm
1972.002.Pfa.RoMaj,Fire Chariot,1972,15 S. Eutaw Street,,Roger L. Majorowicz,Sculpture,in place,,,,Percent for Public Art (BOPA),,,,,Baltimore,MD,21201,John Steadman Fire House,Eutaw Street Entrance,,Outdoor,bronze,Abstract chariot with fire fighting theme on a pedestal under an overhang at the fire department entrance.,"DSC_0251.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/qPVYFUtDzG3UnkKLFQDlwQ/FXRsST_6f5j78ozBcun6vKan0xggDTz93uGC6--P9jSt_3B73-P5xQHbAqR7S-mr/8D8AOdIYwSypHbW-_e0CNCoGdREY96DcRGGp-pP0d_Q),DSC_0249.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/I8IZK0g3eYyyGoR8sMm-nQ/oNFn8Ek5FfxaGXDsci5_si-zPbJqUbHA1pWzgUlGLwzZeM6nJtyKQt-vv3iS8wFO/-3U3_1FLIs0fwPZt8NIIVMdIgjKP7LUJajGGQlHh578),DSC_0246.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/a6LtVByTOi63F5TSKZ9JUA/0IDHctf7lFJIblAIKyhK9C5XkKqZds05-NW4mLLQ9pWeAU9eMnkqfKTxZ4hioM67/jNTidjK2mIVwYwyqmYXun2woJYG5uBpsje0HSureO58),DSC_0245.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/NvLidcqRcQcFGRw8pk_HGw/qQJPfmkWZ7z5FWlHpR6AKOjXvK4B44i0x6snO4Pf3W5ud-S2F6Cyoeu5wj_zqqq2/D-EOzowEc7-oUDm3OxMV-ugV40TgCmx7LngqCSIP76A),27_MajorowiczR_1972-Photo2016.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/3uWKVSxBCwcK3mJ1y_soqQ/IV2c6JqaD2LWj_EHzs58aSsqf-1OMQHbmDb5-ouyszynpEWJ0HGLCLfzLD_28vJRPe2MAYkp2fCquep12v_p6g/s138Lkc4JcczvFmPCkGYc1FFv_I6we33iAes1lMVTZ8),27_MajorowiczR_1972-Photo2016.7.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/ZRQqiZXx-hazNMIVZBezWg/VF9CUWgbZ0vOFFQsyn5T0vR8xSqL2YzjXPoERkrMkuqBuqqHslvWfCqDXJNfhy_4RAHJNXWmdLysE-ICbKn5bg/nj4fNShEYENxcIaY6ogndquU-xcqp9j5akTSb-84ZAo),27_MajorowiczR_1972-Photo2016.6.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/1lvQOxh_UdXND0S2Or9StA/m6wvAMO3pTKfpQmWf9g6s0WBnW7fS_yHa9VFpw380sfLi3NRKFvpJIzA-9COKnHqBjl855Rbg_k0QQ2cvrQLyg/2wRVP6Rv6viJGTxE7zlvNs5MPRJLy_-WtKNQOhqJc6o),27_MajorowiczR_1972-Photo2016.5.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/nOHekpX6KbanGEO368wFuQ/fxb8QuqgEe97npkIyrgmmQRUeRygFh5eQBHzz6acz7KdXUHFLoXP164AS3AOjRp08RQwKtEVUKKGlNyQ8XiyHQ/WuVs9y6isbyJQwZYuWw-imDu_xzm6y4mD1o0fy_52oo),27_MajorowiczR_1972-Photo2016.4.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/dKqj5p3UZh6ISLEadXe9rg/Ttn_iy_DFq2I2n3WvasxDHhfkltKvl62EUzOmpi9cBw7feSmlmdcv1SHV0bfwYpI6QfMcfaYyPJS2U-HlOsawA/YS93G4eCxD3R1Jrs-LomG1wWonz3bNd_BhBWBAjEpzg),27_MajorowiczR_1972-Photo2016.3.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/g_eN1nW4hyMHA4byWM0Q4A/epYcsSwQvb-0rw0Y8JZpvGHBXPsAH1Nx-5BePqemYf6ZnUYJ0uHP5o-Gbr5oD9YrRKfNFWRDcA-0MliAddk8kA/JK8qTe1FPMYHbDXsFub0a3r8TOUGY0qjiT6-gL9yoQU),27_MajorowiczR_1972-Photo2016.2.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/qtXg6ED3n79nyFAPV2MpMA/DsXLDCT6tZgr28uOWqvtEjh1dz-378-Be_OIPplY4cJYPsIzvD49ddVgC0wEyI0jxOiwMcwl8rdALrSWCtrKyw/I10FK-ITqdt1CwRcSyHKDjM2Goq-A-sEz8WPseZz5uM)",,,11 ft. x 47 in. x 88 in,Male,,,checked,,,,,11,Downtown,Downtown/Seton Hill,7361,,Condition assessment (1991),"Repainted incorrectly, vandalism - eagle removed from chariot,",,39.287819, -76.620670,12/4/2022 7:45pm
1972.005.XXX.BeWel,Unknown,1972,200 N. Central Avenue,,Betty Wells,Mosaic,,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21202,Charles Carroll Elementary School,Wall facing Orleans St.; now Sojourner-Douglass College,Charles Carroll Barrister ES,,ceramic tile,,"1972.005.XXX.BeWel-Photo2015.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/GVZz_eaYylIdVgQhTMzeUA/MdqzoXpScrN5Sf4V-Z0-yFkJM5BgbfpGvw4bdXYgVo9NkEOB-HuXeZ6LPIy-sW2w67bhGYRID6gyB1nxe3Y6DQ/K3YZ8qD8KXRN4tJqkJTVVDX24x5FDjTgbQuUN7kSHsM),1972.005.XXX.BeWel-Photo2015 (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Z8DrBJaqC3PV9_Dlj3AGuA/RYAsIzqlr16-bj73uVcCRB92n0AVsTTlkHFFX1T4g2MQvJGKwhThQXzwE9EbdiUR1Z2bHsR3oJRnROlVtqMWqA/G9FFfaAECsE52U0YLruyhnqVrYLWZI9SYzPLe6GkiWg),1972.005.XXX.BeWel-Photo2015 (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/zQgvkwu2bsWDckQ7T7d41g/42YRXs7gjldLajf83mCAmtg6Mdxv0iL_5V-aIzQSO0jYSUtGYhkgzbb8AfC30YmXFawnEFl9oF5r8RpS2ob8fw/4AsxUGNYrTqaWCoH0doK6DW23QhmD6jD84n5Pw8p_S4)",,,,Female,,,,,,,,12,Pleasant View Gardens,Jonestown/Oldtown,7021,,,,,39.294496,-76.600585,12/4/2022 7:45pm
