ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,,2022,404 S. Stricker Street,,"Nether,MasPaz",Mural,in place,,Mount Clare Community Council,,,,,7/15/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Approximate date,,"Male, Male",,,,Lowe's Home Improvement,,,,,,,,,,,,39.28299046670665,-76.64081832631827,9/23/2022 12:14pm
,,2022,1525 Ramsay Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/1/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Approximate date,,Male,,,,,,,,,,,,,,,,39.28318822279169,-76.64145691661219,9/23/2022 12:14pm
,,2022,1737 W. Pratt Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,3/12/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post,,Male,,,,,,,,,,,,,,,,39.28511272171275,-76.64485361634512,9/23/2022 12:14pm
,"""Community Fabric of Charles North""",2022,1815 Saint Paul Street,,Nether,Mural,in place,Private Property,Central Baltimore Partnership,,,"RodSzn,Reggie Lewis",,10/19/2022,,Baltimore,MD,21202,,North facing next to parking lot,,Outdoor,mural,,,,,,Male,,,,Public Art Across Maryland (Maryland State Arts Council),,,,,,,,,,,,39.31032710392162,-76.61464752056332,12/2/2022 12:12am
,[Birdland Mural],2022,420 E. 33rd Street,,Gaia,Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.328555590526825,-76.60996827552634,12/1/2022 11:22pm
,[Calhoun and Ramsay Street Mural],2022, 402 S. Calhoun Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,6/15/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Approximate date,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,39.28321532235889,-76.63947532333381,11/30/2022 12:24pm
,[Ellwood Park leaves mural],2022, 513 N. Potomac Street,,Andy Dahl,Mural,in place,Private Property,Southeast CDC,,,,,7/15/2022,,Baltimore,MD,,,,,Outdoor,,,,,Approximate date based on understanding the mural was completed mid-summer 2022 ,,Male,,,,,,,,,,,,,,,,39.29730583418954,-76.57482108959893,12/4/2022 8:31pm
,[Fox Street Park Mural],2022, 306 W. 28th Street,,,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Fox Street Park,Next to Fox Street Park,Fox Street Park,Outdoor,mural,,,,,,,,,,,,,,,,,,,,,,39.32113833552615,-76.62203356856689,12/2/2022 9:14am
,[Horse and cherry blossom mural],2022, 300 S. Calhoun Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,3/24/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CbfcT87uPmX/,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,39.284415021210016, -76.63954057255685,9/23/2022 12:14pm
,[White-tail deer mural],2022,354 S. Woodyear Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,2/23/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CaU9dw6JAvD/,,Male,,,,,,,,,,,,,,,,39.28351688114712,-76.6386708807583,9/23/2022 12:14pm
,[Woman with flower mural - location needed],2022,,Missing,"Adam Stab,polenhunny",Mural,in place,,Mount Clare Community Council,,,,,6/20/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CfDP6UTs34c/,,Male,,,,,,,,,,,,,,,,,,12/2/2022 9:29am
,[Woman with leaves and stones mural],2022,1300 McHenry Street,,"""Ernest Shaw, Jr."",Nether",Mural,in place,,Mount Clare Community Council,,,,,7/1/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Approximate date; collaboration between Nether and Ernest Shaw,,"Male, Male",,,,,,,,,,,,,,,,39.28471784075569,-76.63804238736645,9/23/2022 12:14pm
,Abell Open Space Mural,2022,301 E. 32nd Street,,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,Abell Open Space,,Abell Open Space,Outdoor,mural,,,,, 90’ x 12’,Female,,,,,,,,,,,,,,,,39.32677367959011,-76.61275873750031,12/2/2022 9:14am
,Ascend,2022,8600 McDonogh Road,,Oletha DeVane,Sculpture,in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,McDonogh School,,McDonogh School,Outdoor,,,,"David McDonogh,Nancy",,14' high,Female,,,,,,,,,,,,,,,,39.39501324873979,-76.77830438241268,12/2/2022 9:14am
,B'MORE Birds: Black-crowned Night Heron,2022,5431 York Road,,Iandry Randriamandroso,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21212,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.35637103106436,-76.60976407625857,12/2/2022 1:16am
,Braiding Seeds,2022,117 W. 24th Street,,Jaz Erenberg,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21218,Our Time Kitchen,Front facade,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.316109759450356,-76.61911333702167,9/22/2022 6:42pm
,Memorial to Those Enslaved and Freed,2022,8600 McDonogh Road,,Oletha DeVane,"Memorial,Landscape",in place,Private Property,,,,,,4/19/2022,,Owings Mill,MD,21117,McDonogh School,,McDonogh School,Outdoor,,,,,,,Female,,,,,,,,,,,,,,,,39.39501324873979,-76.77830438241268,12/2/2022 9:14am
,Prosper,2022,305 E. Lafayette Street,,Hannah Atallah,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.3098220393883,-76.61179906589186,11/19/2022 12:04am
,Union Square Entrance Mural [Wall 2],2022, 132 S. Gilmor Street,,"Nether,Arts + Parks",Mural,in place,,,,,,,5/3/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CdGf2fOuyEM/,,Male,,,,,,,,,,,,,,,,39.28549305820471,-76.64244244328431,9/23/2022 12:14pm
,Union Square Entrance Mural [Welcome to Union Square],2022, 121 S. Gilmor Street,,"Nether,Arts + Parks",Mural,in place,,,,,,,5/3/2022,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/CcnmmmfOjmb/,,Male,,,,,,,,,,,,,,,,39.285559024921554,-76.64197664911005,9/23/2022 12:14pm
,[Bluebird and girl mural],2021,1701 Cole Street,,Nether,Mural,in place,,Mount Clare Community Council,,,,,11/23/2021,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CWo7I3nMeb0/,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,39.282025424510074,-76.64354782475974,9/23/2022 12:14pm
,"[Flowers, birds, and key mural]",2021,1621 Cole Street,,"Nether,Arts + Parks",Mural,in place,,Mount Clare Community Council,,,,,12/28/2021,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CYDJFaONWM1/,,Male,,,,Lowe's Home Improvement,,,,,,,,,,,,39.28207378620673,-76.64305054812776,9/23/2022 12:14pm
,[Fox and forest mural],2021,300 S. Woodyear Street,,"Nether,Hiro Hubbard,Carter Roach",Mural,in place,,,,,,,2/2/2021,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/CKzIxTcp3Xt/,,Male,,,,,,,,,,,,,,,,39.28444118014761,-76.6387755513151,11/18/2022 10:29pm
,Centre Street Mural Project,2021,601 N Howard Street,,Bridget Cimino,Mural,in place,,Maryland Center for History and Culture,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,,,,,,39.296286041436666,-76.61952096675444,12/2/2022 12:20am
,Dee's Place Welcome Mural,2021,1212 N. Wolfe Street,,Ali Mirsky,Mural,in place,,,,,,,,,Baltimore,MD,21213,,Outdoor - Historic East Baltimore,,Outdoor,mural,outdoor painted mural ,,,,,,,,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Drawing Outside the Lines,2021,3560 3rd Street,,"Blake Conroy,Nicole Fall,Fall Conroy Projects",Sculpture,in place,Mayor & City Council,,,,,,,,Baltimore,MD,,,On window grates around Brooklyn O'Malley Boys & Girls Club,,Outdoor,metal,,,,Window mounted metal sculptures based on youth drawings,,Female,,,,Public Art Across Maryland (Maryland State Arts Council),,,,,,,,,,,,39.23818050864677, -76.60705844996086,12/2/2022 12:05am
,Eager Park Community Mural,2021,1101-1125 N. Wolfe Street,,LaToya D. Peoples,Mural,in place,,,,EBDI Public Arts and Placemaking Workgroup,,,8/14/2021,,Baltimore,MD,21213,,Southeast corner of East Biddle Street & North Wolfe Street; Located on north side of the building at the corner of E. Biddle and N. Wolfe Streets,,Outdoor,mural,outdoor - painted mural - in community park,,,"First project for EBDI Public Arts and Placemaking Workgroup.     Darrian Alexander, a rising 9th grader and recent graduate of Henderson-Hopkins;     Randolph Scott, a lifelong Middle East/Eager Park resident and retired Army veteran;     SirKaeden Carr, a rising 1st grader at Henderson-Hopkins;     Delegate Hattie Harrison, a lifelong resident and champion of East Baltimore who represented the 45th District as a State Delegate in the Maryland General Assembly from 1973 until she passed in 2013 as the longest-serving member of the Maryland House of Delegates and the first African American woman to chair a major committee;     Latisha Jackson, a Henderson-Hopkins teacher, and her son, Daryll Thames, a rising 4th grader at Henderson-Hopkins; and     Sol Aloe, a rising 4th grader at Henderson-Hopkins from https://www.wmar2news.com/news/local-news/new-mural-in-east-baltimore-celebrates-depicts-notable-residents",,Female,,,,,,,,,,,,,,,,39.30426790706103,-76.59102174181557,12/2/2022 9:08am
,East Preston Street Pocket Park Community Mural,2021,1756 E. Preston Street,,Nether,Mural,in place,Mayor & City Council,,,,Arts + Parks,,,,Baltimore,MD,21213,,End of row community park,,Outdoor,mural,End of row community park,,,,,Male,,,,,,,,,,,,,,,,39.30558062757485,-76.59271382929941,12/2/2022 9:08am
,Elwood Park,2021,3030 Jefferson Street,,Andy Dahl,Mural,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21205,Elwood Park,,Elwood Park,Outdoor,mural,,,,,,Male,,,,Southeast CDC General Funds,,,,,,,,,,,,39.296485,-76.574230,12/21/2021 9:49pm
,It all begins with a dream,2021,4600 Lanier Avenue,,Iandry Randriamandroso,Mural,in place,,,,,,,,,Baltimore,MD,21215,Park Heights Academy,,Park Heights Academy,Outdoor,mural,,,,Assisted by Kenneth C. Clemons and others (see Iandy IG account for image),,Male,,,,,,,,,,,,,,,,,,12/2/2022 9:14am
,North Avenue Rising,2021,1601 North Avenue,,Megan Lewis,Mural,in place,Mayor & City Council,,,,,,,Black Arts District,Baltimore,MD,21217,,Indoor - inside subway station at Penn-North,,Indoor,mural,South facing mural inside Penn-North Metro Subway Station,,,,,Female,,,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Sankofa,2021,333 W. Camden Street,,"""Ernest Shaw, Jr.""",Mural,in place,,,,Birdland Murals,,,,,Baltimore,MD,,Oriole Park at Camden Yards,,Oriole Park at Camden Yards,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.284696553244494,-76.62117165684045,12/2/2022 9:14am
,Together Govans,2021, 4229 York Road,,"Iandry Randriamandroso,Desiree Thaniel",Mural,in place,,,,Art@Work,"Kashae White,Nukieah Brooks,Amelia Henry,Sherrill Richardson,Jamya Edwards,Antoine Padonou,Kiyan Reid",,8/5/2021,,Baltimore,MD,,,,,Outdoor,mural,,,,,,"Male, Female",,,,"Art@Work Program (BOPA),INSPIRE- Department of Planning Community Art",,,,,,,,,,,,39.34085535043104,-76.60934998948085,11/18/2022 10:35pm
,Together Govans,2021,4300 York Road,,Iandry Randriamandroso,Mural,in place,Mayor & City Council,,,,,,,,Baltimore,MD,21212,Walter P. Carter ES,Outdoor at Walter P Carter,Walter P. Carter ES,Outdoor,mural,North facing mural at 43rd Street & York Road,,,"Assts: Desiree Thaniel. Kiyan Reid, Antoine Padonou, Jamya Edwards, Sherrill Richardson, Amelia Henry, Nukieah Brooks, Kasshae White",,Male,,,,,,,,,,,,,,,,,,12/2/2022 9:14am
,Unity,2021,1758 Park Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,"Gaia,LaToya D. Peoples,Nether",,,,Baltimore,MD,21217,,Outdoor - Bolton Hill - 1758 Park Avenue,,Outdoor,mural,Mural,,,,,Male,,,,,,,,,,,,,,,,39.31049343458703,-76.62816482298553,12/2/2022 9:08am
,Untitled,2021,300 Pontiac Avenue,,"Annie Howe,Andy Dahl",Mural,in place,,,,,,,,,Baltimore,MD,21225,,Outdoor 300 S. Pontiac Street,,Outdoor,mural,Outside,,,Exterior wall of Maree Farring Elementary/Middle School,,"Female, Male",,,,,,,,,,,,,,,,39.23693845586548,-76.60703262347086,12/2/2022 9:08am
,Untitled,2021,2135 E. North Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,,,,,Baltimore,MD,21213,,Duncan St. Miracle Garden,,Outdoor,mural,Outdoor mural in Duncan St Miracle Garden in East Baltimore,,,,,Male,,,,,,,,,,,,,,,,,,12/2/2022 9:08am
,"""Serenty Courage Wisdom"" Mural",2020,1820-1828 W. Saratoga Street,,Bridget Cimino,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21223,Kirby Lane Park,,Kirby Lane Park,Outdoor,mural,,52152262983_c396fbc830_b.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/P-FYFQos8saCG17rG1dHGA/hqdLmME-zpB5HEmCiVr0kNUV864r9K94o6a6F_iU4DRq3hzNifPLGdxxsq_Ym9sT_VcaIRjUgKMzk_8nPvzvUZOxSH6zfgy7cQ_j0KKMhlCZNag-Hvc8PXq3SiX51CLm/9R5tnrNGMuxqy9dA_z0FnorBTgjzIQXCMQhK-frFunQ),,,,Female,,,,,,,,,,,,,,,,39.292173790398266,-76.64634961748472,12/1/2022 11:16pm
,[Killer Cat],2020,3604 Elm Avenue,,Nether,Mural,in place,Private Property,,,,,,7/21/2020,,Baltimore,MD,,,North sidewall of building,,Outdoor,mural,Supported by Mammoth Properties,52303788997_cba6c9f5fc_b.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/sENaHA1O91X7ChN_ZI0bHg/HbzPKu1GZkdNBhueqS2fd0wwV4p0nji15LECvmgbuLsxfvBQRKdKo40MWIfY-HIkV-O7Hv688Mcif5MuD63sl8OHGi7meA25XpjJ-aIZi_NfWZiomAL0da-F1w-uFmnz/i77ooNRqgLV7A58ygwLNPPwatcS64tPZJ4hoKvHHRoE),,Date from Nether Instagram post: https://www.instagram.com/p/CC6ilP6JQ80/,,Male,,,,,,,,,,,,,,,,39.33139391825128,-76.6314900796465,12/1/2022 11:15pm
,[Welcome to Waverly mural],2020,3011 Greenmount Avenue,,Gaia,Mural,in place,Private Property,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.32569846456727,-76.60926250214196,9/22/2022 11:55pm
,All Power to the People,2020,1917 Greenmount Avenue,,"MasPaz,GUACHE",Mural,in place,Private Property,,,,,,11/11/2020,,Baltimore,MD,,,,,,mural,,,,,,Male,,,,,,,,,,,,,,,,39.31214517909596,-76.60932681475758,9/29/2022 4:23pm
,Bee Great,2020,1133 Greenmount Avenue,,Renz Balagtas,Mural,in place,,,,,"Sam Rientenbach,Jack Coyle",,,,Baltimore,MD,21202,,Southeast corner of E Biddle Street and Greenmount Avenue,,Outdoor,mural,Outdoor - painted mural in Johnston Square,,,,,,,,,,,,,,,,,,,,,39.30363393895357,-76.6076805240615,12/2/2022 9:08am
,Butchers Hill Stoop Story,2020,12 N. Collington Street,,Nether,Mural,in place,,,,,,,,,Baltimore,MD,21231,,mural situated in alley in Butcher's Hill,,Outdoor,mural,Outdoor painted mural in alley in Butcher's Hill,,,,,Male,,,,,,,,,,,,,,,,39.29245892222742,-76.58619634720881,12/2/2022 9:08am
SECDC,Corona Grocery Mural,2020,3520 E. Lombard Street,,Jeff Henriquez,Mural,in place,Private Property,Southeast CDC,,,,,,,Baltimore,MD,,Corona Grocery,,,Outdoor,mural,,,,,,Male,,,,Healthy Neighborhoods,,,,,,,,,,,,39.2915316,-76.5676276,9/22/2022 9:48pm
SECDC,Pegasus [Greektown],2020,Eastern Avenue and S. Lehigh Street,Intersection,Dominic Terlizzi,Sculpture,in place,,Southeast CDC,,,,,,,Baltimore,MD,,,Greektown,,Outdoor,aluminum,,,,,,Male,,,,Baltimore Regional Neighborhood Initiative (BRNI),,,node/7449617273,,,,,,,,,39.2870167,-76.5579648,12/2/2022 9:29am
,Rep. Elijah Cummings Memorial Mural,2020,1233 Druid Hill Avenue,,Adam Stab,Mural,in place,,,,,,,10/17/2020,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,,,,,,39.301908238178406,-76.62819270143821,9/29/2022 4:23pm
,Wall of Pride: Back to the Future,2020,1611 N. Carey Street,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,"Gaia,Deborah Mason,F. Michele Santos,Shawn James,Nether",,,,Baltimore,MD,21217,Cumberland Park,Facing north in Cumberland Park,,Outdoor,mural,Outdoor - painted mural - facing north in Cumberland Park,,,,,Male,,,,,,,,,,,,,,,,39.308130,-76.641427,12/2/2022 1:16am
,[Butterfly mural],2019,1638 Cole Street,,Francisco Enuf Garcia (@enuf86),Mural,in place,,Mount Clare Community Council,,,,,5/28/2019,,Baltimore,MD,,,,,Outdoor,mural,,,,Additional artist possible? Date from Mount Clare Community Council Instagram post: https://www.instagram.com/p/ByAp9ltpEGR/,,,,,,,,,,,,,,,,,,39.28232255857754,-76.64333174194718,9/23/2022 12:14pm
,[Mission Fit Baltimore mural],2019,2720 Sisson Street,,Nether,Mural,in place,Private Property,,,,,,5/18/2019,,Baltimore,MD,,,,,Outdoor,mural,,,,Date from Nether Instagram post: https://www.instagram.com/p/BxnHov_J1Ff/,,Male,,,,,,,,,,,,,,,,39.31894458133566,-76.62498119684462,9/29/2022 4:23pm
2019.001.PfA.WhFrazCrMic,[Pimlico INSPIRE],2019,4800 block of Pimlico Road,Block,"Whitney Frazier,Crystal Micriotti","Mural,Sculpture,Horizontal Mural",in place,Mayor & City Council,"Baltimore City Department of Transportation,Baltimore City Department of Planning",Baltimore Office of Promotion and the Arts,"Percent for Public Art (BOPA),INSPIRE- Department of Planning Community Art",,,9/1/2019,,Baltimore,MD,21215,,Community Green Space (DOT Right of Way) at the intersection of Pimlico Road and Thorndale Ave,,Outdoor,"cast concrete,stainless steel,painted metal,painting,ground mural","Large Horizontal mural around greenspace, with a custom steel/concrete sculpture on the interior of the garden painted to match the mural.","41FF4E8E-67B9-49F6-A310-CAEEDDC1EEE2.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/6-8qBEIdID2Sheh8TUxfgQ/-eMAA7zgMzmo8DbnXJDHSlDyEaQtn1IOvtrwqPEgas-AXPFVhweElI58VuWflIZo1XrbzV0Yo4O5jcU-Q-cLehh6_U6ipzVwrEgYlaFlxgJunl1ej4MgAH7EVbcwzD-w/DZadgh7G4lFrorIt3aV18pP8nvUX1rYm6yDrnPisIfQ),9DE2253E-F03C-4F85-A9D5-92633F6B16E6.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/fehwoYPmwt99GHCxu3-jFQ/5UHi6OvvRj0OqKnKbLEAicjdnyOo2_dgDyFvZWImHovNVwi4UZoMYskpBnJRSKMx0jAagCUu35rCgnLB-4ocU_DbIFOeXocE2WnAQQjmS0GT3MHT_Jo6XLz1qSz0MgQs/sWbHUg5j9pOMY4HmE-iLvog4YFfOim5pVOdnTz8I0p4),43DC23FD-CACD-400C-B9BB-44DBD602B105.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/G2QgsQOBeR-R-m6GhdDbLw/Ox_cTJ_xFFVqsdeC3dhgKRO8K2B4GKpxZxAjyq_hSNWRxQd9eAaNKtAswRY7RqFnqcTFhNM1eobe02MJ3HPyC-7qV4n8ZYyMi9SvDdFvFxJGyOATe6dWllwjds69KxDh/PPv291ThU1SLqd4RBF3Rx0URV4zxVdQlaIQ2mENa9yI),87AE846D-C1DB-4DD5-927C-1F2E069211E5.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/BNKMxlC2jVPBZy0wSSQrPA/MRDR2lKRk_1zanO5ZYv6baAO8jeobD2u2yS8r16su9B2cCoi_DdXRG11nCCm1Zz2ER8g5nqQUQwwQCwnTlq0d2a5GerrkH2EAXUgiDGo7wu9dJKt4o2fH_2xETc9jZyx/wEoEtxSTKjDxfzYFdNaLi1epqzGTN-vImQrg2FMV_xc),1216FA7C-11ED-495B-B05F-2B5B1D3ADB1D.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/iPmcDw81ZMjCBoNWCaFHDg/m1_qQp1w-FiSGcUiC7RjNpoO3UO2fF5syBVdJZuFCTiMUFN9q-8Wtjc1tqBREVg6_PTMqOW7qUHqUP_JVkbYeXEYybF8-olMMG-SAA7vLE4pTLypxWlWqB7WRbUF9yIp/7U3uTCHUzEEfErMReLvmlON8_ZCB_2SCf2O5juHxOAY),B1C2FAD5-CC85-471D-A24A-BA50A892B9FD.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/9sAFZznH-AB-xVtx4--fuQ/j9ggQ9Ska_hSpMXHADj_0FiqhH4i-yQLyB8hnaIfFZXDVW2q1xLoKY9UFBZEUjpd7DKiB-2cHbEn5f3CmT0ug7mxv-E-wOXu7ry7_mXv3nY3Hs7XLqyV7DetMUFhoneW/rPipERA2H4xlSwuakRp3KFVH5W_4dObUaPQyigmcZ_w),DBCA67AE-6606-4E1B-8A1E-3ABF039D565B.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/P-N5ms5C2Pefv3iwHUOBFA/I7L9TEXi8wTVp6lY9nhVQLD502Lcma99ekTYDd38gpjhzjANO3P0uByY-M7wp7Dt0wV8osqkuJ6AwySVy4lfxWWFXjpTl62GBXU0Mk_XKqOBZEEk7LAV0Xr3L8RI4Wgg/U_c4TQvlUdSfV_Be94tpcTsA4Z5O-HzDvkXXRrRHROI)",,INSPIRE- Community Arts Project,6'H x 80'W x 80'D,"Female, Female",David Scheper,"See accession documents. Greenspace to be managed by Park Heights Renaissance, Artwork maintenance to be managed by BOPA.",,,,,way/839682886,6,Central Park Heights,Pimlico/Arlington/Hilltop,,,,,,39.347010,-76.669055,12/4/2022 8:22pm
,A Great Day for Learning,2019,4301 W. Bay Avenue,,Megan Lewis,Mural,in place,,,,,,,,,Baltimore,MD,21225,,Brooklyn - Curtis Bay - Baltimore City,Curtis Bay Middle School,Outdoor,mural,Mural - outdoor - Curtis Bay Elementary/Middle School,,,Painted mural - outdoors,,Female,,,,,,,,,,,,,,,,,,12/2/2022 9:08am
,Bee Kind,2019,924 E. Biddle Street,,Renz Balagtas,Mural,in place,,,,,"Sam Rientenbach,Jack Coyle",,,,Baltimore,MD,21202,,"Outdoor, Johnston Square, East Baltimore",,Outdoor,mural,Outdoor painted mural in East Baltimore - Johnston Square Community,49243440951_9f87455548_b.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/u2tSkqw5qZS7teNSpUEszg/LiURAQatsU9FHTjWJQVq1blozUOjrv06xd94vTcvQUHLXxtkdwxQvqFT-ZyQV8rRmpVM2G-DC8o0tzq7CqJX5DyWDIjlUz40gRSP93cuOjOsUZkWrj5CwlCtU951EoK_/Iz_vBSCVLzH8-XqIwN4tcS6vz1k9kygJZb9TedBZzkU),,,,,,,,BOPA Community Arts Grant,,,,,,,,,,,,39.30408040864419,-76.60415749095095,12/2/2022 1:08pm
,"Joy, Happiness, Fun",2019,5501 Ivanhoe Road,,Iandry Randriamandroso,Mural,in place,,,,,,,,,Baltimore,MD,21212,Walter J. Dewees Recreation Center,Ourdoor - painted mural - Govans - Walter J. Dewees Recreation Center,Walter J. Dewees recreation Center,Outdoor,mural,Painted mural outdoor in Govans at Walter J. Dewees Recreation Center,,,"Assts: Amelia Henry, Savannah Jackson, Joanna Hollins, Makayla McClinton, Sire Rodgers, Hope Sacco, Olivia Thomas, Traenard Thompson, Dan Zembower",,Male,,,,,,,,,,,,,,,,39.35632628588041,-76.60408220842831,12/2/2022 9:08am
,Legacy,2019,2304 Greenmount Avenue,,"""Ernest Shaw, Jr.""",Mural,in place,,,,,"Gaia,Pablo Machioli,Multisse",,,,Baltimore,MD,21218,Greenmount Recreation Center,Greenmount - East Baltimore - Barclay Community,Greenmount Recreation Center,Outdoor,mural,Painted outdoor mural at Greenmount Recreation Center,,,,,Male,,,,,,,,,,,,,,,,39.31603238684143,-76.60968458414584,12/2/2022 1:17am
,Mount Clare Entrance Park,2019,S. Gilmor Street and W. Pratt Street,Intersection,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,"Southwest Partnership,Chesapeake Bay Trust",,,,,,,,,,,,39.28525900416732,-76.64202672534687,12/2/2022 9:29am
,"One Baltimore, Many Shades [#OneBaltimoreManyShades]",2019,5315 York Road,,S. Rasheem,Mural,in place,,,,Art@Work,"""Jerome Staten, Jr.""",,,,Baltimore,MD,21212,,Govans - York Road - Outdoor painted mural,,Outdoor,mural,Outdoor painted mural on Woodbourne Avenue side of building,,,"Assts: Elizabeth Dorsey, Anya Dorsey, Perryion Harris, Donte McKoy, William Morton, Makayla Nichols, Briasia Pratt, Deonna Way, Jason Smith Jr",,,,,,Art@Work Program (BOPA),,,,,,,,,,,,39.35523309122097,-76.60815146826522,12/2/2022 9:08am
,One Preakness,2019,5000 Park Heights Avenue,,Iandry Randriamandroso,Mural,in place,Private Property,,,,,,,,Baltimore,MD,21215,,Park Heights - South facing wall of Harbor Bank,Harbor Bank,Outdoor,mural,Painted outdoor mural in Park Heights - Preakness theme ,,,Assissted by Herb Massie and community artists,,Male,,,,Baltimore Mural Program (BOPA),,,,,,,,,,,,39.34744805427229,-76.67383370564482,12/2/2022 9:08am
,Pimlico Golden Garden,2019,3100 Spaulding Avenue,,Nether,"Mural,Landscape",in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,Healthy Neighborhoods,,,,,,,,,,,,39.34875,-76.67403,12/2/2022 1:17am
,Racheal Wilson Memorial Project,2019,123 S. Calverton Street,,Nether,Mural,in place,Private Property,,,,Arts + Parks,,,,Baltimore,MD,21223,,"Outdoor, painted mural in Boyd-Booth community in 21223",,Outdoor,mural,Painted outdoor mural,,,Memorial for Rachael Wilson; Point location is approximate,,Male,,,,,,,,,,,,,,,,39.28567901140082,-76.65032936750872,12/2/2022 9:08am
